Team,Over Record,Over %,Under %,Total +/-
Utah,430-387-14,52.6%,47.4%,+1.3
San Antonio,310-280-11,52.5%,47.5%,+0.3
Milwaukee,431-400-11,51.9%,48.1%,+0.6
Minnesota,518-490-16,51.4%,48.6%,+0.9
Indiana,449-427-15,51.3%,48.7%,+0.7
Denver,379-363-9,51.1%,48.9%,+0.2
Washington,560-539-21,51.0%,49.0%,+0.9
Atlanta,516-497-9,50.9%,49.1%,+0.6
Toronto,462-447-7,50.8%,49.2%,+1.4
Portland,487-474-9,50.7%,49.3%,+0.1
New York,552-544-9,50.4%,49.6%,+0.6
Dallas,357-353-8,50.3%,49.7%,+0.7
Golden State,384-380-7,50.3%,49.7%,+0.5
Sacramento,532-527-22,50.2%,49.8%,+0.6
LA Lakers,423-419-8,50.2%,49.8%,-0.2
Chicago,480-479-12,50.1%,50.0%,+0.6
LA Clippers,399-399-19,50.0%,50.0%,+0.7
Memphis,470-471-6,50.0%,50.1%,+0.1
Phoenix,406-413-11,49.6%,50.4%,+0.2
Philadelphia,483-497-16,49.3%,50.7%,-0.1
Charlotte,557-580-16,49.0%,51.0%,-0.1
Orlando,499-525-16,48.7%,51.3%,0.0
Brooklyn,523-552-14,48.7%,51.4%,+0.6
Detroit,482-510-14,48.6%,51.4%,-0.1
Houston,373-398-8,48.4%,51.6%,+1.0
Cleveland,412-449-5,47.9%,52.2%,-0.3
Boston,329-359-6,47.8%,52.2%,+0.3
New Orleans,476-530-14,47.3%,52.7%,-0.1
Okla City,393-438-8,47.3%,52.7%,-0.4
Miami,348-394-5,46.9%,53.1%,-1.2
