Team,Over Record,Over %,Under %,Total +/-
Denver,198-154-5,56.3%,43.8%,+1.4
Washington,281-222-9,55.9%,44.1%,+1.6
Minnesota,264-212-5,55.5%,44.5%,+1.6
San Antonio,216-188-7,53.5%,46.5%,+0.7
Portland,248-217-4,53.3%,46.7%,+0.6
Indiana,230-203-7,53.1%,46.9%,+1.8
Atlanta,243-215-5,53.1%,46.9%,+1.8
Toronto,183-169-3,52.0%,48.0%,+1.1
Utah,185-175-7,51.4%,48.6%,+1.6
LA Lakers,252-246-3,50.6%,49.4%,-0.1
Memphis,230-228-4,50.2%,49.8%,+0.9
Chicago,255-258-6,49.7%,50.3%,+0.8
LA Clippers,150-154-8,49.3%,50.7%,+1.1
Orlando,298-307-8,49.3%,50.7%,-0.1
Phoenix,220-230-6,48.9%,51.1%,-0.2
Houston,197-206-4,48.9%,51.1%,+0.4
Detroit,282-295-9,48.9%,51.1%,+0.4
Brooklyn,257-272-8,48.6%,51.4%,+1.0
Philadelphia,212-226-5,48.4%,51.6%,-1.0
Charlotte,254-271-6,48.4%,51.6%,-0.7
New York,263-283-9,48.2%,51.8%,+0.2
New Orleans,228-246-6,48.1%,51.9%,-0.1
Sacramento,245-266-9,48.0%,52.1%,+0.1
Milwaukee,137-152-3,47.4%,52.6%,-0.6
Dallas,204-231-4,46.9%,53.1%,+0.2
Miami,190-216-1,46.8%,53.2%,-1.5
Cleveland,179-204-2,46.7%,53.3%,-0.5
Golden State,107-125-3,46.1%,53.9%,-0.4
Okla City,181-213-3,45.9%,54.1%,-1.4
Boston,119-144-3,45.3%,54.8%,-0.8
