Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,507-436-14,53.8%,1.5,+0.5
Golden State,492-444-20,52.6%,2.4,+0.4
San Antonio,534-485-21,52.4%,3.3,+0.3
Denver,483-440-13,52.3%,1.9,+0.4
Boston,568-526-19,51.9%,2.4,+0.3
Indiana,512-477-29,51.8%,0.9,+0.6
Orlando,492-459-21,51.7%,-1.1,+0.2
Miami,547-511-22,51.7%,2.1,+0.3
Phoenix,467-439-14,51.6%,0.9,+0.4
Dallas,504-477-21,51.4%,1.8,+0.2
Philadelphia,486-460-17,51.4%,-0.8,0.0
New York,473-448-13,51.4%,-1.8,+0.2
Utah,458-453-18,50.3%,0.3,0.0
Houston,482-478-13,50.2%,1.6,+0.5
Cleveland,488-492-20,49.8%,0.6,-0.1
Charlotte,440-445-16,49.7%,-3.0,+0.2
Milwaukee,462-469-19,49.6%,0.4,-0.2
Toronto,490-498-18,49.6%,0.4,+0.1
Brooklyn,465-474-26,49.5%,-2.0,-0.2
Memphis,476-488-19,49.4%,-0.3,+0.2
LA Clippers,427-448-11,48.8%,0.6,0.0
New Orleans,435-457-14,48.8%,-1.2,0.0
Chicago,458-487-13,48.5%,-1.0,-0.3
Portland,427-456-18,48.4%,-1.9,-0.6
Sacramento,410-444-14,48.0%,-2.8,-0.8
Atlanta,473-523-11,47.5%,-1.5,-0.6
Detroit,451-499-27,47.5%,-1.2,-0.5
LA Lakers,438-493-22,47.1%,0.5,-0.6
Minnesota,429-493-12,46.5%,-1.7,-0.4
Washington,431-506-21,46.0%,-2.6,-0.5
