Team,Over Record,Over %,Under %,Total +/-
Utah,478-413-13,53.7%,46.4%,+1.6
Minnesota,459-409-12,52.9%,47.1%,+1.8
LA Clippers,465-426-14,52.2%,47.8%,+0.8
Chicago,463-429-12,51.9%,48.1%,+1.6
LA Lakers,475-448-10,51.5%,48.5%,+0.7
Toronto,456-432-9,51.4%,48.7%,+0.7
Phoenix,457-437-12,51.1%,48.9%,+0.8
Charlotte,414-400-10,50.9%,49.1%,+0.8
New York,441-431-10,50.6%,49.4%,+0.1
Washington,443-435-12,50.5%,49.5%,+0.6
Milwaukee,449-443-12,50.3%,49.7%,+0.3
Indiana,457-452-14,50.3%,49.7%,+0.1
Philadelphia,445-444-16,50.1%,49.9%,+0.2
Denver,455-454-8,50.1%,49.9%,+0.3
Cleveland,465-465-6,50.0%,50.0%,+0.3
San Antonio,467-469-19,49.9%,50.1%,-0.1
Atlanta,452-457-9,49.7%,50.3%,+0.2
Memphis,443-451-10,49.6%,50.5%,+0.1
Houston,443-452-12,49.5%,50.5%,+1.2
Portland,435-450-10,49.2%,50.9%,-0.6
Dallas,454-472-12,49.0%,51.0%,-0.3
Okla City,443-464-9,48.8%,51.2%,+0.1
Brooklyn,432-454-13,48.8%,51.2%,+1.0
Miami,459-494-9,48.2%,51.8%,-1.1
Boston,458-496-8,48.0%,52.0%,+0.5
Sacramento,408-443-18,47.9%,52.1%,-0.4
Orlando,419-463-15,47.5%,52.5%,-0.6
Golden State,439-489-9,47.3%,52.7%,+0.1
New Orleans,410-459-13,47.2%,52.8%,-0.3
Detroit,423-477-12,47.0%,53.0%,-0.2
