Team,ATS Record,Cover %,MOV,ATS +/-
Boston,515-439-20,54.0%,4.4,+0.9
Okla City,456-413-16,52.5%,1.3,+0.4
Philadelphia,459-422-17,52.1%,-0.1,+0.4
Dallas,453-425-20,51.6%,0.7,+0.5
Utah,442-418-21,51.4%,2.0,+0.4
Miami,463-439-23,51.3%,0.9,+0.2
Memphis,445-423-13,51.3%,-0.3,+0.4
Indiana,441-420-19,51.2%,0.3,+0.4
LA Clippers,460-442-7,51.0%,2.9,+0.3
San Antonio,438-425-15,50.8%,0.9,+0.2
Orlando,425-413-14,50.7%,-3.4,-0.1
Golden State,479-467-21,50.6%,5.1,0.0
New York,424-416-15,50.5%,-2.1,+0.5
Toronto,455-449-14,50.3%,2.1,+0.2
New Orleans,422-427-11,49.7%,-0.7,+0.3
Sacramento,406-411-24,49.7%,-2.3,-0.4
Brooklyn,423-429-16,49.7%,-2.1,0.0
Denver,442-449-20,49.6%,1.6,-0.1
Milwaukee,447-455-20,49.6%,2.7,-0.5
Houston,438-453-14,49.2%,0.5,-0.2
Portland,426-441-18,49.1%,-1.5,-0.4
Detroit,398-414-22,49.0%,-3.6,-0.1
Chicago,410-428-14,48.9%,-1.9,-0.4
Phoenix,426-446-10,48.9%,-1.4,-0.7
Charlotte,395-420-18,48.5%,-2.8,-0.4
Atlanta,429-456-8,48.5%,-0.9,-0.5
Cleveland,431-472-21,47.7%,0.8,-0.4
Washington,403-443-19,47.6%,-2.4,-0.6
LA Lakers,412-458-12,47.4%,-1.8,-0.4
Minnesota,397-447-14,47.0%,-1.1,-0.1
