Team,ATS Record,Cover %,MOV,ATS +/-
Cleveland,13-5-0,72.2%,10.1,+3.3
LA Clippers,13-5-0,72.2%,3.7,+5.5
Toronto,11-5-0,68.8%,-6.1,+1.6
Okla City,12-7-1,63.2%,10.9,+2.2
Orlando,14-9-0,60.9%,4.8,+1.9
New York,14-9-1,60.9%,10.2,+2.6
Houston,9-6-0,60.0%,8.8,+5.1
Charlotte,10-7-0,58.8%,-7.4,+0.1
Golden State,11-8-0,57.9%,3.6,+2.0
Memphis,13-10-0,56.5%,5.5,+3.0
Detroit,10-8-0,55.6%,-0.5,+3.0
San Antonio,12-10-0,54.6%,1.0,+2.1
Utah,9-8-0,52.9%,-10.4,-2.4
Brooklyn,9-8-1,52.9%,-4.5,+1.1
LA Lakers,10-9-0,52.6%,-2.8,-4.4
Chicago,10-9-0,52.6%,-6.8,-1.9
Atlanta,9-10-0,47.4%,-1.5,-0.2
Portland,9-10-0,47.4%,-9.1,-1.5
Dallas,9-11-1,45.0%,6.7,+2.4
Sacramento,8-10-2,44.4%,4.4,-0.2
Philadelphia,7-9-1,43.8%,-1.5,-0.5
Washington,7-9-2,43.8%,-10.7,-0.3
Minnesota,8-11-1,42.1%,2.4,-1.1
Milwaukee,6-9-0,40.0%,1.8,-1.7
Boston,8-12-1,40.0%,9.4,-0.4
Indiana,8-13-1,38.1%,-3.0,-4.7
Denver,6-10-1,37.5%,-0.4,-3.5
Miami,5-9-0,35.7%,1.6,0.0
New Orleans,4-12-0,25.0%,-12.4,-7.4
Phoenix,4-14-0,22.2%,-3.7,-4.8
