Team,Over Record,Over %,Under %,Total +/-
Portland,2-0-0,100.0%,0.0%,+15.0
Atlanta,12-3-0,80.0%,20.0%,+10.2
Cleveland,22-10-0,68.8%,31.3%,+5.9
Charlotte,2-1-0,66.7%,33.3%,+16.7
Toronto,2-1-0,66.7%,33.3%,+0.3
Denver,15-10-0,60.0%,40.0%,+6.6
Brooklyn,3-2-0,60.0%,40.0%,-5.0
San Antonio,8-6-0,57.1%,42.9%,+4.5
New Orleans,4-3-1,57.1%,42.9%,+0.4
Miami,12-9-0,57.1%,42.9%,+3.2
Memphis,14-11-0,56.0%,44.0%,+5.1
Golden State,11-9-0,55.0%,45.0%,-0.5
Houston,13-12-1,52.0%,48.0%,-1.2
New York,17-16-0,51.5%,48.5%,+2.0
LA Clippers,6-6-0,50.0%,50.0%,+1.0
Philadelphia,7-7-2,50.0%,50.0%,-2.1
Milwaukee,13-13-0,50.0%,50.0%,-0.4
Phoenix,10-10-0,50.0%,50.0%,+0.2
Indiana,9-10-0,47.4%,52.6%,-4.9
Boston,16-18-0,47.1%,52.9%,-0.7
Sacramento,12-14-2,46.2%,53.9%,-1.1
Minnesota,13-16-0,44.8%,55.2%,-2.2
LA Lakers,8-10-0,44.4%,55.6%,+1.1
Okla City,15-19-1,44.1%,55.9%,-5.1
Dallas,8-13-0,38.1%,61.9%,-4.0
Detroit,4-7-0,36.4%,63.6%,-2.8
Orlando,8-15-0,34.8%,65.2%,-6.3
Chicago,2-6-0,25.0%,75.0%,-4.8
