Team,Over Record,Over %,Under %,Total +/-
Denver,571-506-16,53.0%,47.0%,+1.3
Sacramento,509-463-23,52.4%,47.6%,+1.2
Milwaukee,506-466-11,52.1%,47.9%,+0.9
Atlanta,529-488-9,52.0%,48.0%,+1.3
Minnesota,511-492-12,51.0%,49.1%,+0.2
Phoenix,543-531-9,50.6%,49.4%,+0.5
Okla City,554-544-16,50.5%,49.5%,+0.5
Portland,521-515-14,50.3%,49.7%,+0.5
Utah,513-508-19,50.2%,49.8%,0.0
Detroit,504-501-15,50.2%,49.9%,-0.2
San Antonio,566-566-14,50.0%,50.0%,+0.1
Miami,575-579-11,49.8%,50.2%,-0.3
LA Lakers,568-576-9,49.7%,50.4%,-0.3
Brooklyn,497-504-14,49.7%,50.4%,-0.1
Indiana,511-519-13,49.6%,50.4%,0.0
LA Clippers,497-514-23,49.2%,50.8%,+0.2
New York,503-521-9,49.1%,50.9%,+0.3
Cleveland,504-523-10,49.1%,50.9%,+0.1
Toronto,526-547-11,49.0%,51.0%,+0.8
New Orleans,491-511-10,49.0%,51.0%,+0.2
Houston,508-532-15,48.9%,51.2%,+0.1
Boston,564-595-8,48.7%,51.3%,-0.1
Dallas,536-566-16,48.6%,51.4%,0.0
Washington,476-507-20,48.4%,51.6%,+0.5
Golden State,515-550-13,48.4%,51.6%,-0.4
Charlotte,422-463-13,47.7%,52.3%,-0.2
Chicago,464-514-12,47.4%,52.6%,0.0
Memphis,475-528-10,47.4%,52.6%,-0.2
Philadelphia,459-548-20,45.6%,54.4%,-1.4
Orlando,468-563-14,45.4%,54.6%,-0.8
