Team,ATS Record,Cover %,MOV,ATS +/-
Memphis,14-5-0,73.7%,13.3,+7.9
Okla City,12-5-1,70.6%,13.3,+4.1
Cleveland,13-6-0,68.4%,13.9,+4.2
LA Clippers,12-6-0,66.7%,5.6,+4.5
Orlando,11-6-1,64.7%,5.8,+2.3
Toronto,12-7-1,63.2%,-5.4,-0.4
LA Lakers,10-7-0,58.8%,3.5,+0.2
Dallas,10-7-0,58.8%,8.6,+3.6
Houston,11-8-0,57.9%,7.5,+2.3
Portland,9-7-0,56.3%,-7.1,-1.9
New York,8-7-1,53.3%,9.9,+0.7
Charlotte,10-9-0,52.6%,-4.1,+1.8
New Orleans,10-10-0,50.0%,-5.0,-1.2
San Antonio,10-10-0,50.0%,2.6,+2.5
Chicago,9-9-0,50.0%,-5.0,-1.5
Miami,8-9-0,47.1%,2.8,-1.5
Golden State,9-11-0,45.0%,0.3,-3.0
Denver,7-9-1,43.8%,3.0,-0.4
Indiana,6-8-1,42.9%,1.8,-2.2
Detroit,7-10-0,41.2%,-2.9,-1.5
Atlanta,7-10-0,41.2%,-1.2,-2.3
Utah,6-9-0,40.0%,-9.3,-3.3
Washington,8-12-0,40.0%,-11.7,-1.8
Brooklyn,6-10-0,37.5%,-8.7,-3.5
Boston,7-12-0,36.8%,10.2,-0.6
Sacramento,7-13-2,35.0%,2.0,-3.1
Milwaukee,5-11-1,31.3%,3.5,-3.8
Phoenix,5-13-0,27.8%,0.8,-2.8
Philadelphia,4-11-0,26.7%,-5.5,-5.7
Minnesota,4-12-1,25.0%,2.6,-3.4
