Team,Over Record,Over %,Under %,Total +/-
Washington,118-86-3,57.8%,42.2%,+1.2
Portland,111-88-5,55.8%,44.2%,+3.2
Philadelphia,112-90-3,55.5%,44.6%,+1.5
Phoenix,125-106-0,54.1%,45.9%,+0.6
Chicago,106-95-4,52.7%,47.3%,+2.2
Toronto,108-99-0,52.2%,47.8%,+0.2
Milwaukee,111-102-1,52.1%,47.9%,+1.2
LA Clippers,111-104-6,51.6%,48.4%,+3.1
Cleveland,111-105-3,51.4%,48.6%,+0.7
Houston,98-94-6,51.0%,49.0%,+1.0
Atlanta,95-92-3,50.8%,49.2%,+0.9
Detroit,101-98-1,50.8%,49.3%,-0.6
Indiana,99-97-1,50.5%,49.5%,+0.1
Sacramento,107-105-5,50.5%,49.5%,+0.5
New Orleans,105-104-1,50.2%,49.8%,-0.5
Brooklyn,100-100-1,50.0%,50.0%,+0.5
Boston,93-95-2,49.5%,50.5%,+0.5
Denver,103-106-4,49.3%,50.7%,+1.3
Utah,101-104-0,49.3%,50.7%,+1.6
Orlando,89-93-1,48.9%,51.1%,-0.9
Minnesota,98-104-3,48.5%,51.5%,-0.8
LA Lakers,97-108-2,47.3%,52.7%,-1.6
Memphis,96-107-6,47.3%,52.7%,-0.6
New York,94-105-4,47.2%,52.8%,-0.3
San Antonio,93-105-4,47.0%,53.0%,-0.5
Charlotte,85-98-1,46.5%,53.6%,-1.4
Okla City,85-105-3,44.7%,55.3%,-1.1
Golden State,102-131-1,43.8%,56.2%,0.0
Miami,97-125-0,43.7%,56.3%,-1.9
Dallas,79-109-4,42.0%,58.0%,-0.9
