Team,Over Record,Over %,Under %,Total +/-
Minnesota,214-183-5,53.9%,46.1%,+1.7
Denver,255-219-2,53.8%,46.2%,+1.5
Charlotte,181-161-4,52.9%,47.1%,+1.7
Toronto,227-203-1,52.8%,47.2%,+2.0
LA Clippers,249-231-7,51.9%,48.1%,+0.6
Philadelphia,222-207-8,51.8%,48.3%,+1.4
Phoenix,219-207-7,51.4%,48.6%,+1.2
Indiana,210-199-6,51.3%,48.7%,+0.8
Milwaukee,211-200-1,51.3%,48.7%,+0.4
Brooklyn,220-209-3,51.3%,48.7%,+1.6
Boston,226-220-9,50.7%,49.3%,+1.4
Okla City,232-226-8,50.7%,49.3%,+0.7
LA Lakers,255-251-5,50.4%,49.6%,+0.2
Cleveland,219-216-5,50.3%,49.7%,+0.6
Miami,228-225-5,50.3%,49.7%,-0.2
Chicago,194-195-2,49.9%,50.1%,+1.7
Golden State,223-227-6,49.6%,50.4%,+0.8
San Antonio,225-229-5,49.6%,50.4%,+0.1
Dallas,226-232-7,49.3%,50.7%,-0.2
Houston,214-222-4,49.1%,50.9%,+0.7
New Orleans,206-214-6,49.1%,51.0%,-0.7
New York,206-215-2,48.9%,51.1%,-0.4
Detroit,209-221-9,48.6%,51.4%,+0.2
Atlanta,198-214-3,48.1%,51.9%,-0.2
Utah,211-232-6,47.6%,52.4%,+0.3
Washington,185-205-5,47.4%,52.6%,+0.1
Orlando,183-204-8,47.3%,52.7%,-0.8
Sacramento,208-233-10,47.2%,52.8%,-0.6
Memphis,192-215-9,47.2%,52.8%,-0.3
Portland,205-238-8,46.3%,53.7%,-1.1
