Team,ATS Record,Cover %,MOV,ATS +/-
Toronto,115-89-4,56.4%,1.8,+1.9
Memphis,108-87-1,55.4%,-2.7,+0.4
Okla City,124-103-5,54.6%,0.2,+0.6
Sacramento,111-93-5,54.4%,-3.7,0.0
Detroit,109-92-7,54.2%,-5.2,+0.2
Boston,122-106-6,53.5%,3.2,+1.2
Washington,103-91-3,53.1%,-3.2,+0.1
Milwaukee,105-93-3,53.0%,2.4,+0.3
Portland,114-104-3,52.3%,-1.2,+0.4
Miami,99-91-7,52.1%,-1.6,+0.1
Utah,105-98-7,51.7%,0.2,+0.6
Dallas,106-102-5,51.0%,-1.1,+0.2
Orlando,95-92-5,50.8%,-4.8,+0.3
Denver,115-113-4,50.4%,0.5,+0.6
Indiana,96-97-3,49.7%,-2.0,0.0
Chicago,92-93-7,49.7%,-2.7,0.0
Philadelphia,105-107-7,49.5%,-1.2,+0.8
Golden State,101-103-4,49.5%,3.3,-0.2
Houston,97-99-5,49.5%,-1.5,-0.5
LA Clippers,116-119-1,49.4%,2.0,+0.4
New Orleans,105-109-2,49.1%,-2.8,-0.5
Cleveland,100-104-5,49.0%,-1.3,-0.6
San Antonio,97-101-5,49.0%,-0.4,+0.2
LA Lakers,106-111-4,48.9%,-3.8,0.0
Charlotte,84-88-6,48.8%,-4.8,0.0
Phoenix,95-103-2,48.0%,-4.3,-1.4
Minnesota,85-93-4,47.8%,-3.5,-0.7
New York,89-102-3,46.6%,-3.7,+0.4
Atlanta,93-110-2,45.8%,-3.1,-1.4
Brooklyn,89-109-2,45.0%,-5.7,-1.8
