Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,18-7-1,72.0%,12.8,+5.1
Memphis,19-8-0,70.4%,11.7,+7.7
Golden State,15-8-0,65.2%,2.8,+2.5
LA Clippers,13-8-0,61.9%,0.1,+2.4
New York,15-10-1,60.0%,9.2,+3.0
Cleveland,16-11-0,59.3%,10.5,+2.6
Milwaukee,13-9-1,59.1%,4.5,+1.2
LA Lakers,14-10-0,58.3%,0.3,-1.0
Denver,12-9-1,57.1%,4.0,+0.5
Houston,12-10-0,54.6%,8.1,+2.5
Dallas,12-11-1,52.2%,3.5,+2.1
Toronto,13-12-0,52.0%,-8.2,-0.3
Charlotte,14-13-0,51.9%,-5.2,+1.4
Orlando,14-13-0,51.9%,2.4,+0.6
Boston,11-11-1,50.0%,11.3,+2.5
Indiana,11-11-1,50.0%,1.3,+0.5
Detroit,13-13-1,50.0%,-1.6,+1.2
Utah,12-13-0,48.0%,-9.8,-2.5
Sacramento,8-9-2,47.1%,4.8,-0.1
New Orleans,14-16-0,46.7%,-7.3,-4.2
Portland,13-15-0,46.4%,-10.4,-2.8
Chicago,12-15-1,44.4%,-4.4,-1.7
Atlanta,8-11-0,42.1%,-0.6,-0.9
Brooklyn,10-14-1,41.7%,-8.7,-1.0
Phoenix,9-13-0,40.9%,-1.1,-2.7
Miami,10-15-0,40.0%,1.0,-0.4
Philadelphia,10-15-2,40.0%,-4.5,-2.8
Minnesota,7-17-1,29.2%,0.3,-3.5
Washington,6-15-1,28.6%,-15.4,-4.9
San Antonio,6-18-0,25.0%,-8.6,-7.1
