Team,Over Record,Over %,Under %,Total +/-
Indiana,15-4-1,79.0%,21.1%,+5.2
Atlanta,15-8-0,65.2%,34.8%,+0.7
Denver,11-6-0,64.7%,35.3%,+7.4
Okla City,5-3-1,62.5%,37.5%,+5.9
Detroit,13-9-0,59.1%,40.9%,+2.5
Toronto,18-14-0,56.3%,43.8%,+1.4
Philadelphia,15-12-0,55.6%,44.4%,+2.8
Cleveland,5-4-0,55.6%,44.4%,+3.2
San Antonio,12-10-0,54.6%,45.5%,+1.9
Memphis,8-7-0,53.3%,46.7%,+1.1
Sacramento,11-10-1,52.4%,47.6%,+2.6
New Orleans,17-16-1,51.5%,48.5%,+1.2
Washington,19-19-0,50.0%,50.0%,-3.4
LA Clippers,9-9-1,50.0%,50.0%,+2.1
Houston,7-7-0,50.0%,50.0%,-1.3
Utah,16-16-1,50.0%,50.0%,+1.2
Golden State,10-12-0,45.5%,54.6%,+0.3
Miami,10-12-0,45.5%,54.6%,+0.2
Portland,12-15-1,44.4%,55.6%,-2.2
LA Lakers,8-10-0,44.4%,55.6%,+0.8
Chicago,12-15-0,44.4%,55.6%,+0.5
New York,7-9-0,43.8%,56.3%,+1.4
Orlando,10-13-0,43.5%,56.5%,-3.3
Minnesota,9-12-0,42.9%,57.1%,-1.3
Boston,6-8-0,42.9%,57.1%,-2.9
Dallas,9-13-0,40.9%,59.1%,-3.0
Brooklyn,13-19-0,40.6%,59.4%,-2.0
Phoenix,8-13-0,38.1%,61.9%,-1.7
Charlotte,10-20-0,33.3%,66.7%,-4.4
Milwaukee,5-13-0,27.8%,72.2%,-6.8
