Team,Over Record,Over %,Under %,Total +/-
Denver,304-264-8,53.5%,46.5%,+1.6
Minnesota,286-255-5,52.9%,47.1%,+0.2
Cleveland,287-259-4,52.6%,47.4%,+0.8
San Antonio,281-259-7,52.0%,48.0%,+0.5
Milwaukee,286-266-7,51.8%,48.2%,+1.1
Sacramento,253-238-13,51.5%,48.5%,+1.0
New Orleans,269-253-4,51.5%,48.5%,+0.9
Atlanta,277-264-7,51.2%,48.8%,+1.0
Portland,277-264-8,51.2%,48.8%,+0.7
Toronto,290-278-6,51.1%,48.9%,+0.5
Utah,269-263-11,50.6%,49.4%,+0.2
Indiana,280-278-5,50.2%,49.8%,+0.4
Detroit,245-249-8,49.6%,50.4%,+0.2
Boston,300-306-4,49.5%,50.5%,0.0
Okla City,270-277-8,49.4%,50.6%,+0.1
Phoenix,271-279-5,49.3%,50.7%,-0.2
LA Clippers,267-275-12,49.3%,50.7%,+0.4
Brooklyn,259-267-8,49.2%,50.8%,+0.1
Houston,275-286-9,49.0%,51.0%,-0.2
LA Lakers,278-290-1,48.9%,51.1%,-0.8
Washington,254-267-10,48.8%,51.3%,+0.1
Memphis,257-280-6,47.9%,52.1%,-0.2
Miami,281-308-3,47.7%,52.3%,-0.9
Charlotte,239-266-7,47.3%,52.7%,-0.1
Chicago,245-273-7,47.3%,52.7%,+0.4
Philadelphia,256-286-7,47.2%,52.8%,-0.9
Dallas,263-296-5,47.1%,53.0%,-0.2
New York,250-282-8,47.0%,53.0%,+0.2
Orlando,244-284-6,46.2%,53.8%,-0.8
Golden State,257-303-7,45.9%,54.1%,-1.2
