Team,Over Record,Over %,Under %,Total +/-
Cleveland,32-16-0,66.7%,33.3%,+4.9
Memphis,31-17-0,64.6%,35.4%,+4.9
Denver,31-17-0,64.6%,35.4%,+6.6
New Orleans,28-20-1,58.3%,41.7%,+2.6
Atlanta,28-20-0,58.3%,41.7%,-0.5
Miami,26-20-0,56.5%,43.5%,+2.3
Utah,25-20-1,55.6%,44.4%,+2.0
San Antonio,25-20-0,55.6%,44.4%,+1.5
Indiana,25-20-1,55.6%,44.4%,-0.8
New York,26-21-1,55.3%,44.7%,+3.6
Philadelphia,24-20-3,54.6%,45.5%,+1.4
Houston,25-21-1,54.4%,45.7%,-0.5
Okla City,24-21-2,53.3%,46.7%,-3.5
Sacramento,24-21-2,53.3%,46.7%,+2.0
Minnesota,25-23-0,52.1%,47.9%,-0.5
Detroit,24-23-1,51.1%,48.9%,+2.1
Milwaukee,24-23-0,51.1%,48.9%,-0.5
Washington,24-23-0,51.1%,48.9%,-1.8
Dallas,25-24-0,51.0%,49.0%,+0.7
Toronto,23-25-0,47.9%,52.1%,-1.1
Portland,22-24-2,47.8%,52.2%,-1.0
LA Lakers,22-24-0,47.8%,52.2%,-1.0
Golden State,22-25-0,46.8%,53.2%,-2.9
Brooklyn,22-26-0,45.8%,54.2%,+0.2
Phoenix,21-25-0,45.7%,54.4%,-1.2
Chicago,22-27-0,44.9%,55.1%,+0.4
Boston,22-27-0,44.9%,55.1%,-2.0
Orlando,20-29-0,40.8%,59.2%,-4.0
LA Clippers,19-28-1,40.4%,59.6%,-2.0
Charlotte,17-28-0,37.8%,62.2%,-3.7
