Team,Over Record,Over %,Under %,Total +/-
Memphis,19-5-0,79.2%,20.8%,+7.6
Cleveland,16-6-0,72.7%,27.3%,+8.5
Phoenix,16-9-0,64.0%,36.0%,+1.9
Dallas,17-10-0,63.0%,37.0%,+5.5
Utah,16-10-0,61.5%,38.5%,+5.1
Houston,16-10-0,61.5%,38.5%,+2.3
New York,14-9-1,60.9%,39.1%,+5.1
Denver,16-11-0,59.3%,40.7%,+5.3
Philadelphia,13-9-2,59.1%,40.9%,-0.8
Milwaukee,13-10-0,56.5%,43.5%,+1.1
Atlanta,15-12-0,55.6%,44.4%,-0.1
Sacramento,13-11-0,54.2%,45.8%,+2.9
San Antonio,11-10-0,52.4%,47.6%,-2.2
Detroit,13-12-1,52.0%,48.0%,+2.3
Charlotte,10-10-0,50.0%,50.0%,-0.1
Okla City,11-11-1,50.0%,50.0%,-3.7
Minnesota,13-13-0,50.0%,50.0%,-0.8
LA Lakers,13-13-0,50.0%,50.0%,-1.1
Brooklyn,14-14-0,50.0%,50.0%,+3.0
Miami,12-13-0,48.0%,52.0%,+0.5
Chicago,12-13-0,48.0%,52.0%,+3.1
Indiana,12-14-1,46.2%,53.9%,-6.0
New Orleans,11-13-0,45.8%,54.2%,-2.0
Washington,11-13-0,45.8%,54.2%,-3.3
Toronto,10-13-0,43.5%,56.5%,-1.5
Orlando,11-16-0,40.7%,59.3%,-3.0
LA Clippers,9-14-1,39.1%,60.9%,-0.3
Golden State,8-13-0,38.1%,61.9%,-4.5
Portland,8-15-1,34.8%,65.2%,-8.0
Boston,9-17-0,34.6%,65.4%,-4.2
