Rank,Hotness Score,Matchup,Time,Location
1,90.6,#4 Memphis  at  #10 LA Clippers,10:30 PM,Intuit Dome
2,85.3,#12 Golden State  at  #9 Dallas,9:30 PM,American Airlines Center
3,84.1,#13 Milwaukee  at  #8 Minnesota,8:00 PM,Target Center
4,74.8,#17 Phoenix  at  #7 Houston,8:30 PM,Toyota Center
5,72.3,#19 San Antonio  at  #3 Boston,7:00 PM,TD Garden
6,71.0,#22 Atlanta  at  #6 New York,7:30 PM,Madison Square Garden
7,67.2,#16 Miami  at  #1 Okla City,8:00 PM,Paycom Center
8,64.9,#25 Portland  at  #5 Denver,9:00 PM,Ball Arena
9,64.7,#2 Cleveland  at  #23 Toronto,7:30 PM,Scotiabank Arena
10,63.0,#20 Detroit  at  #24 Chicago,8:00 PM,United Center
11,60.8,#21 Philadelphia  at  #28 Brooklyn,7:30 PM,Barclays Center
12,60.0,#14 Sacramento  at  #27 New Orleans,8:00 PM,Smoothie King Center
13,58.4,#11 LA Lakers  at  #29 Utah,9:00 PM,Delta Center
14,57.0,#26 Charlotte  at  #18 Orlando,7:00 PM,Kia Center
15,46.8,#15 Indiana  at  #30 Washington,7:00 PM,Capital One Arena
