Team,ATS Record,Cover %,MOV,ATS +/-
Brooklyn,18-9-1,66.7%,-4.7,+4.0
Cleveland,16-9-0,64.0%,8.0,+2.2
Memphis,17-10-0,63.0%,3.7,+4.4
Detroit,17-10-1,63.0%,1.5,+5.8
Houston,17-10-1,63.0%,3.9,+2.7
Okla City,13-9-2,59.1%,10.5,+4.0
Toronto,15-11-0,57.7%,-7.4,+2.1
Minnesota,15-12-0,55.6%,2.3,+0.2
Portland,14-12-1,53.9%,-7.4,+0.9
Atlanta,16-14-0,53.3%,-2.4,+1.9
New York,13-12-0,52.0%,4.7,-0.1
Golden State,13-12-1,52.0%,0.9,+0.6
Utah,15-14-0,51.7%,-7.5,+1.9
LA Clippers,12-12-0,50.0%,-1.8,0.0
Charlotte,11-11-1,50.0%,-8.0,-0.8
Indiana,15-15-0,50.0%,-0.4,+0.3
Boston,13-14-1,48.2%,9.8,+1.0
Denver,13-15-0,46.4%,3.4,-0.2
LA Lakers,12-14-1,46.2%,-3.1,-2.7
Dallas,12-14-2,46.2%,-1.1,+0.3
San Antonio,12-14-0,46.2%,-2.3,+0.4
Chicago,11-14-1,44.0%,-3.8,+1.1
Washington,10-13-2,43.5%,-13.2,-1.4
Sacramento,11-15-1,42.3%,-0.6,-1.9
Phoenix,11-16-0,40.7%,-4.5,-4.1
Philadelphia,10-16-1,38.5%,-4.1,-2.4
Milwaukee,10-16-0,38.5%,-3.7,-3.5
Miami,10-17-1,37.0%,-2.5,-1.0
Orlando,10-19-0,34.5%,-5.4,-3.8
New Orleans,8-19-0,29.6%,-14.2,-7.5
