Team,ATS Record,Cover %,MOV,ATS +/-
Memphis,240-175-5,57.8%,-1.8,+1.2
Boston,238-212-9,52.9%,2.6,+1.2
Toronto,223-201-9,52.6%,-1.3,+0.8
Dallas,238-218-10,52.2%,0.5,0.0
Okla City,237-222-9,51.6%,-1.3,-0.1
San Antonio,234-220-9,51.5%,2.6,+0.7
Washington,203-191-5,51.5%,-3.9,+0.2
New Orleans,215-203-8,51.4%,-3.0,+0.3
LA Clippers,248-237-5,51.1%,-0.3,+0.3
Sacramento,227-217-11,51.1%,-3.9,-0.3
Portland,230-222-3,50.9%,-1.9,+0.2
Chicago,195-190-8,50.7%,-1.3,+0.6
Detroit,218-215-9,50.4%,-3.1,-0.5
Miami,225-222-13,50.3%,0.0,-0.2
Milwaukee,205-205-6,50.0%,-1.9,-0.5
Utah,221-221-10,50.0%,-0.7,+0.4
New York,209-210-7,49.9%,-3.5,+0.4
Indiana,205-208-4,49.6%,-2.1,-0.4
Charlotte,167-170-10,49.6%,-6.0,-0.3
Orlando,193-197-8,49.5%,-3.0,+0.1
Philadelphia,212-220-9,49.1%,-2.3,+0.5
Golden State,223-233-5,48.9%,-0.5,-0.1
Cleveland,211-222-11,48.7%,-2.1,-1.0
Houston,210-224-10,48.4%,-0.7,-0.3
Denver,224-245-9,47.8%,-0.6,-0.6
Minnesota,190-208-9,47.7%,-3.8,-0.3
LA Lakers,241-267-6,47.4%,-1.7,-0.5
Phoenix,203-226-7,47.3%,-2.6,-1.3
Atlanta,194-218-6,47.1%,-3.2,-0.5
Brooklyn,190-241-3,44.1%,-4.9,-1.6
