Team,Over Record,Over %,Under %,Total +/-
Washington,192-152-4,55.8%,44.2%,+1.1
Toronto,177-143-3,55.3%,44.7%,+1.4
Philadelphia,197-161-4,55.0%,45.0%,+1.7
Milwaukee,213-182-6,53.9%,46.1%,+1.6
Phoenix,172-153-3,52.9%,47.1%,+0.6
Portland,169-156-2,52.0%,48.0%,+1.7
Detroit,178-168-6,51.5%,48.6%,+1.7
Cleveland,202-191-3,51.4%,48.6%,+0.8
Golden State,190-183-4,50.9%,49.1%,+1.2
Utah,177-171-2,50.9%,49.1%,+2.1
Dallas,177-174-4,50.4%,49.6%,+1.1
Minnesota,163-162-3,50.2%,49.9%,+0.7
Chicago,189-189-3,50.0%,50.0%,+1.4
Memphis,189-189-4,50.0%,50.0%,+0.1
Orlando,165-165-6,50.0%,50.0%,-0.3
Indiana,178-178-7,50.0%,50.0%,+0.4
Boston,181-184-5,49.6%,50.4%,+0.2
Sacramento,161-165-4,49.4%,50.6%,+1.0
New Orleans,168-173-6,49.3%,50.7%,-0.2
Charlotte,155-161-5,49.1%,51.0%,+0.4
Atlanta,175-183-3,48.9%,51.1%,+0.9
Houston,172-186-7,48.0%,52.0%,0.0
Denver,163-177-3,47.9%,52.1%,+0.6
LA Lakers,155-169-3,47.8%,52.2%,-1.0
Okla City,158-176-5,47.3%,52.7%,-1.1
LA Clippers,166-186-4,47.2%,52.8%,-0.1
New York,152-173-4,46.8%,53.2%,-0.8
San Antonio,162-191-7,45.9%,54.1%,-0.1
Brooklyn,160-199-3,44.6%,55.4%,-0.3
Miami,170-215-3,44.2%,55.8%,-1.2
