Team,ATS Record,Cover %,MOV,ATS +/-
Boston,197-164-6,54.6%,2.2,+1.6
Memphis,210-175-2,54.6%,-1.9,+0.3
Portland,194-168-7,53.6%,-1.2,+1.4
New Orleans,195-171-7,53.3%,-3.2,+0.5
Toronto,187-169-7,52.5%,-1.5,+0.9
Dallas,181-167-7,52.0%,0.5,+0.4
Golden State,189-176-8,51.8%,-0.2,+0.6
Okla City,178-167-7,51.6%,-1.6,+0.1
Miami,172-166-13,50.9%,-0.5,-0.3
San Antonio,177-171-8,50.9%,2.2,+0.4
Chicago,197-191-6,50.8%,-1.1,+0.1
Phoenix,183-178-4,50.7%,-1.4,-0.3
Charlotte,190-187-6,50.4%,-4.9,+0.2
Orlando,180-180-7,50.0%,-3.4,-0.4
New York,176-181-7,49.3%,-3.5,0.0
Milwaukee,193-200-7,49.1%,-1.3,-0.2
Sacramento,180-187-10,49.1%,-5.5,-1.0
Minnesota,178-185-9,49.0%,-3.5,0.0
LA Lakers,167-174-3,49.0%,-2.2,-0.7
LA Clippers,190-199-4,48.8%,-0.8,+0.2
Detroit,188-198-8,48.7%,-3.0,-0.6
Atlanta,193-205-6,48.5%,-2.4,-0.6
Washington,185-201-4,47.9%,-4.0,-0.3
Philadelphia,181-198-5,47.8%,-3.3,0.0
Utah,174-194-9,47.3%,-1.4,-0.4
Denver,169-189-7,47.2%,-1.6,-0.9
Houston,173-196-6,46.9%,-0.8,-0.3
Cleveland,178-205-10,46.5%,-2.7,-1.3
Indiana,176-213-5,45.2%,-2.2,-1.1
Brooklyn,169-211-5,44.5%,-5.5,-1.7
