Team,Over Record,Over %,Under %,Total +/-
Dallas,9-1-0,90.0%,10.0%,+16.4
New York,8-1-0,88.9%,11.1%,+17.0
Cleveland,9-3-0,75.0%,25.0%,+8.9
Toronto,7-3-0,70.0%,30.0%,+10.4
New Orleans,7-4-1,63.6%,36.4%,+5.2
Sacramento,7-4-0,63.6%,36.4%,+6.4
Chicago,6-4-0,60.0%,40.0%,+2.9
Memphis,6-4-0,60.0%,40.0%,+1.0
Detroit,6-4-0,60.0%,40.0%,+8.6
Phoenix,7-5-0,58.3%,41.7%,+2.6
Minnesota,5-4-0,55.6%,44.4%,+3.1
Denver,6-5-0,54.6%,45.5%,+5.2
Philadelphia,5-5-0,50.0%,50.0%,-0.4
Indiana,4-4-0,50.0%,50.0%,-3.4
Milwaukee,5-6-0,45.5%,54.6%,-0.1
Washington,4-5-0,44.4%,55.6%,-3.9
Okla City,4-6-1,40.0%,60.0%,-3.0
Golden State,4-6-0,40.0%,60.0%,-11.5
Miami,4-6-0,40.0%,60.0%,-2.3
Utah,4-6-0,40.0%,60.0%,-1.9
Boston,3-5-0,37.5%,62.5%,-3.6
Atlanta,4-7-0,36.4%,63.6%,-9.2
San Antonio,3-6-0,33.3%,66.7%,-5.0
Houston,4-9-0,30.8%,69.2%,-10.3
Orlando,3-7-0,30.0%,70.0%,-9.7
LA Lakers,2-5-0,28.6%,71.4%,-7.6
LA Clippers,3-8-0,27.3%,72.7%,-9.4
Portland,2-7-0,22.2%,77.8%,-15.9
Charlotte,2-8-0,20.0%,80.0%,-6.3
Brooklyn,2-8-0,20.0%,80.0%,-7.8
