Team,ATS Record,Cover %,MOV,ATS +/-
Boston,262-212-9,55.3%,2.5,+1.2
Dallas,241-207-9,53.8%,-1.6,+0.8
Sacramento,224-193-13,53.7%,-3.5,+0.5
Brooklyn,233-201-6,53.7%,-3.6,+0.7
Miami,241-214-9,53.0%,-1.4,+0.6
New York,225-203-8,52.6%,-3.7,+0.9
Orlando,224-206-5,52.1%,-5.7,-0.1
LA Clippers,234-218-5,51.8%,0.7,+0.7
Okla City,227-212-8,51.7%,-1.2,-0.1
Utah,225-215-8,51.1%,-1.3,+0.2
Indiana,224-217-6,50.8%,-2.1,+0.2
Toronto,228-222-7,50.7%,-0.4,+0.4
Houston,223-223-6,50.0%,-1.9,-0.3
Minnesota,217-218-7,49.9%,-2.8,+0.6
Chicago,213-214-9,49.9%,-3.1,+0.6
New Orleans,213-217-7,49.5%,-2.7,+0.6
Milwaukee,226-231-7,49.5%,0.0,-0.7
San Antonio,217-222-11,49.4%,-1.8,0.0
Denver,219-225-9,49.3%,-1.4,-0.6
Detroit,206-213-13,49.2%,-5.6,0.0
Memphis,217-225-7,49.1%,-2.9,0.0
Philadelphia,218-227-12,49.0%,-2.9,0.0
Golden State,235-245-10,49.0%,2.1,-0.5
Phoenix,216-226-7,48.9%,-3.7,-0.7
Portland,217-227-6,48.9%,-4.4,-0.5
Charlotte,204-214-14,48.8%,-5.3,-0.4
LA Lakers,205-228-6,47.3%,-4.6,-0.8
Atlanta,215-241-6,47.2%,-3.6,-0.6
Cleveland,215-243-13,46.9%,-1.4,-0.4
Washington,199-230-12,46.4%,-5.4,-1.2
