Team,Over Record,Over %,Under %,Total +/-
Washington,210-175-6,54.6%,45.5%,+2.1
Toronto,194-168-2,53.6%,46.4%,+1.3
Minnesota,197-171-6,53.5%,46.5%,+1.3
Charlotte,202-178-4,53.2%,46.8%,+1.3
Okla City,185-163-6,53.2%,46.8%,+1.8
Denver,193-171-2,53.0%,47.0%,+1.1
Philadelphia,199-183-2,52.1%,47.9%,+1.2
Orlando,187-173-8,51.9%,48.1%,+0.5
Utah,195-181-3,51.9%,48.1%,+1.4
New York,188-176-1,51.7%,48.4%,+1.3
LA Lakers,175-165-5,51.5%,48.5%,+1.1
Phoenix,185-175-7,51.4%,48.6%,+0.2
LA Clippers,201-191-2,51.3%,48.7%,-0.2
Boston,184-178-6,50.8%,49.2%,+1.5
Atlanta,203-199-3,50.5%,49.5%,-0.5
Miami,173-175-5,49.7%,50.3%,-0.2
Houston,185-188-4,49.6%,50.4%,+0.6
New Orleans,181-185-8,49.5%,50.6%,+0.4
Dallas,173-177-5,49.4%,50.6%,-0.3
Milwaukee,196-201-4,49.4%,50.6%,-0.3
Cleveland,192-199-3,49.1%,50.9%,+0.5
San Antonio,173-180-6,49.0%,51.0%,+0.4
Chicago,192-200-2,49.0%,51.0%,+0.4
Golden State,179-188-6,48.8%,51.2%,+0.8
Indiana,189-199-7,48.7%,51.3%,0.0
Brooklyn,186-197-3,48.6%,51.4%,+1.7
Sacramento,179-192-6,48.3%,51.8%,-0.5
Memphis,178-204-7,46.6%,53.4%,-0.6
Portland,170-195-5,46.6%,53.4%,-1.0
Detroit,180-207-9,46.5%,53.5%,-0.2
