Team,Over Record,Over %,Under %,Total +/-
Sacramento,237-196-7,54.7%,45.3%,+2.2
Portland,243-206-8,54.1%,45.9%,+2.4
Milwaukee,254-218-3,53.8%,46.2%,+1.5
Washington,232-203-9,53.3%,46.7%,+1.0
Philadelphia,223-198-6,53.0%,47.0%,+0.5
Atlanta,224-199-4,53.0%,47.0%,+2.5
Cleveland,234-210-6,52.7%,47.3%,+1.2
Phoenix,255-231-3,52.5%,47.5%,+0.8
Toronto,204-190-1,51.8%,48.2%,+0.5
Utah,225-215-4,51.1%,48.9%,+1.5
Houston,217-213-9,50.5%,49.5%,+0.8
Detroit,209-206-4,50.4%,49.6%,-0.2
LA Lakers,218-218-5,50.0%,50.0%,-0.3
Orlando,217-219-6,49.8%,50.2%,-0.1
Indiana,210-213-7,49.7%,50.4%,-0.1
Dallas,207-210-7,49.6%,50.4%,+0.9
Charlotte,196-200-5,49.5%,50.5%,-0.1
Denver,225-231-4,49.3%,50.7%,+0.7
Boston,196-203-6,49.1%,50.9%,+0.6
Brooklyn,206-216-3,48.8%,51.2%,+0.2
LA Clippers,226-239-9,48.6%,51.4%,+1.0
Chicago,223-238-6,48.4%,51.6%,+0.3
New Orleans,215-230-5,48.3%,51.7%,-0.1
Golden State,231-248-4,48.2%,51.8%,+0.9
Minnesota,205-221-6,48.1%,51.9%,-0.1
New York,195-218-6,47.2%,52.8%,-0.4
San Antonio,199-224-9,47.0%,53.0%,0.0
Okla City,199-230-8,46.4%,53.6%,-1.0
Miami,198-236-1,45.6%,54.4%,-1.1
Memphis,195-233-6,45.6%,54.4%,-1.4
