Team,Over Record,Over %,Under %,Total +/-
Cleveland,22-12-0,64.7%,35.3%,+2.6
Memphis,23-13-0,63.9%,36.1%,+3.1
Miami,21-13-0,61.8%,38.2%,+4.2
Atlanta,21-13-0,61.8%,38.2%,+3.6
Denver,22-15-0,59.5%,40.5%,+5.5
Washington,23-16-0,59.0%,41.0%,+1.9
Utah,20-14-1,58.8%,41.2%,+3.8
Houston,17-12-1,58.6%,41.4%,+2.9
Okla City,21-15-0,58.3%,41.7%,+0.1
Phoenix,21-16-0,56.8%,43.2%,+1.8
Golden State,20-16-0,55.6%,44.4%,+0.2
Portland,22-18-2,55.0%,45.0%,+2.4
New York,20-17-1,54.1%,46.0%,+1.9
Indiana,20-17-1,54.1%,46.0%,-1.3
New Orleans,18-16-0,52.9%,47.1%,-0.1
LA Lakers,20-18-0,52.6%,47.4%,+0.3
Minnesota,21-19-0,52.5%,47.5%,-0.5
Philadelphia,17-16-1,51.5%,48.5%,+1.6
Sacramento,18-17-1,51.4%,48.6%,+2.3
San Antonio,19-18-0,51.4%,48.7%,-1.2
Detroit,20-19-0,51.3%,48.7%,+1.4
Toronto,18-19-0,48.7%,51.4%,-3.7
Brooklyn,17-18-0,48.6%,51.4%,+0.5
LA Clippers,16-17-2,48.5%,51.5%,+0.8
Dallas,20-22-0,47.6%,52.4%,-1.7
Boston,19-21-0,47.5%,52.5%,-2.2
Milwaukee,16-18-0,47.1%,52.9%,-1.5
Orlando,19-23-0,45.2%,54.8%,-0.9
Chicago,17-21-0,44.7%,55.3%,+0.2
Charlotte,13-23-0,36.1%,63.9%,-5.2
