Team,ATS Record,Cover %,MOV,ATS +/-
Indiana,199-155-10,56.2%,2.4,+1.7
Golden State,201-168-8,54.5%,3.7,+0.6
New Orleans,183-161-3,53.2%,0.2,+0.8
Okla City,176-155-8,53.2%,2.1,+0.5
San Antonio,186-168-7,52.5%,4.6,+0.6
Detroit,181-164-7,52.5%,0.4,+0.9
Dallas,182-166-7,52.3%,2.8,+0.4
Cleveland,206-188-3,52.3%,2.5,+0.6
Portland,167-154-6,52.0%,0.0,0.0
Miami,197-184-7,51.7%,2.7,+0.5
Houston,187-178-2,51.2%,2.7,+0.5
Brooklyn,180-176-7,50.6%,-1.2,+0.5
Memphis,190-186-7,50.5%,0.8,+0.8
Philadelphia,179-178-6,50.1%,-1.2,-0.2
Boston,180-179-13,50.1%,3.1,0.0
Milwaukee,194-198-10,49.5%,1.1,0.0
Toronto,155-160-8,49.2%,0.5,-0.6
Chicago,183-189-9,49.2%,-0.8,-0.2
New York,160-166-4,49.1%,-1.8,-0.5
LA Clippers,172-182-3,48.6%,1.4,-0.6
Utah,165-175-10,48.5%,1.6,-0.1
LA Lakers,155-169-4,47.8%,1.5,+0.1
Denver,162-177-6,47.8%,2.2,-0.5
Washington,159-181-9,46.8%,-2.2,-0.7
Orlando,153-176-8,46.5%,-2.0,-1.6
Sacramento,150-173-9,46.4%,-1.9,-0.4
Charlotte,146-169-6,46.4%,-3.8,-1.0
Atlanta,167-196-0,46.0%,-1.3,-0.3
Minnesota,146-180-3,44.8%,-1.1,-0.7
Phoenix,137-184-7,42.7%,-0.5,-2.2
