Team,ATS Record,Cover %,MOV,ATS +/-
Cleveland,12-4-0,75.0%,12.2,+3.5
San Antonio,10-4-0,71.4%,4.1,+6.5
LA Clippers,12-5-0,70.6%,8.6,+4.1
Indiana,8-4-0,66.7%,6.8,+2.8
Houston,9-5-0,64.3%,2.4,+1.8
Minnesota,10-6-0,62.5%,10.1,+5.5
Brooklyn,11-7-0,61.1%,-3.6,+1.1
Washington,10-7-0,58.8%,-7.4,+1.8
Toronto,7-5-1,58.3%,-1.9,+1.0
Portland,9-7-0,56.3%,-0.9,+3.3
Charlotte,5-4-1,55.6%,-3.7,+0.9
Okla City,6-5-1,54.6%,12.8,+1.2
Chicago,7-6-0,53.9%,-2.1,-1.3
Detroit,8-7-1,53.3%,2.7,+2.4
Atlanta,10-10-0,50.0%,-3.1,-0.1
Phoenix,5-5-0,50.0%,2.6,-1.8
LA Lakers,8-9-0,47.1%,3.6,+0.7
New York,8-9-0,47.1%,2.9,-2.3
Golden State,8-9-1,47.1%,5.1,-1.5
Milwaukee,7-8-1,46.7%,2.0,-2.7
Sacramento,7-8-2,46.7%,8.2,+4.1
Miami,6-7-0,46.2%,0.0,-0.9
Utah,4-5-0,44.4%,-8.2,-0.8
Dallas,4-6-0,40.0%,-2.7,-3.4
Denver,4-7-0,36.4%,4.1,-1.5
Boston,5-9-0,35.7%,9.3,-2.8
Orlando,4-8-1,33.3%,-4.8,-6.7
New Orleans,3-7-0,30.0%,-11.4,-4.5
Memphis,4-10-0,28.6%,0.4,-1.9
Philadelphia,4-12-0,25.0%,-2.7,-2.5
