Team,ATS Record,Cover %,MOV,ATS +/-
Boston,308-255-11,54.7%,4.0,+0.5
Philadelphia,264-222-10,54.3%,0.2,+0.4
Okla City,257-224-7,53.4%,1.8,+0.5
Utah,258-225-9,53.4%,1.8,+1.0
Orlando,261-233-6,52.8%,-2.8,+0.1
Dallas,268-242-12,52.6%,0.7,+0.9
New York,242-225-10,51.8%,-1.5,+0.7
Denver,247-237-7,51.0%,2.0,+0.3
Indiana,254-244-11,51.0%,0.5,+0.3
Golden State,271-263-9,50.8%,4.8,0.0
Miami,263-257-11,50.6%,0.8,+0.1
LA Clippers,237-232-4,50.5%,2.4,+0.3
Charlotte,245-242-9,50.3%,-2.1,+0.3
Toronto,260-259-6,50.1%,1.7,-0.1
San Antonio,244-243-7,50.1%,0.2,-0.4
Memphis,243-243-9,50.0%,0.0,+0.6
Milwaukee,256-258-10,49.8%,2.5,-0.3
Phoenix,236-238-5,49.8%,-1.1,-0.7
New Orleans,228-230-6,49.8%,-0.6,+0.4
Houston,258-261-9,49.7%,0.8,0.0
Sacramento,208-216-10,49.1%,-2.4,-0.7
Brooklyn,233-242-12,49.1%,-2.2,+0.2
Atlanta,248-267-5,48.2%,-0.8,-0.5
Cleveland,241-263-13,47.8%,1.6,-0.1
Portland,221-249-12,47.0%,-2.5,-1.0
Chicago,222-254-4,46.6%,-2.7,-1.1
Detroit,201-230-13,46.6%,-4.0,-0.6
LA Lakers,218-251-6,46.5%,-1.6,-0.7
Minnesota,225-263-8,46.1%,-1.0,+0.1
Washington,211-260-13,44.8%,-3.1,-0.7
