Team,ATS Record,Cover %,MOV,ATS +/-
Utah,10-5-0,66.7%,-7.3,0.0
Portland,18-9-1,66.7%,-0.8,+5.0
Cleveland,36-18-1,66.7%,11.9,+3.9
Charlotte,9-5-2,64.3%,-5.4,+2.7
Okla City,31-19-3,62.0%,11.3,+2.5
Toronto,14-9-0,60.9%,-1.7,+3.6
LA Lakers,23-16-1,59.0%,3.8,+2.8
Houston,23-17-1,57.5%,5.5,+2.3
LA Clippers,20-16-0,55.6%,4.3,+2.4
Orlando,16-15-0,51.6%,-1.5,-2.9
Detroit,18-17-2,51.4%,2.2,+1.3
Memphis,21-20-1,51.2%,5.3,+2.5
Brooklyn,11-11-0,50.0%,-8.6,-2.8
Atlanta,16-16-0,50.0%,-1.0,+0.5
Denver,20-21-1,48.8%,3.2,-1.2
Sacramento,15-16-2,48.4%,3.7,+0.4
Philadelphia,10-11-1,47.6%,-2.8,-1.9
Minnesota,18-20-0,47.4%,6.1,+2.0
Milwaukee,17-19-1,47.2%,3.8,+0.1
Washington,6-7-0,46.2%,-6.4,+1.8
Golden State,16-20-1,44.4%,1.7,-1.7
Dallas,14-18-1,43.8%,0.4,-1.0
New York,17-23-1,42.5%,3.3,-2.6
Indiana,15-21-0,41.7%,1.1,-1.8
Chicago,10-15-2,40.0%,-7.1,-1.3
New Orleans,7-11-0,38.9%,-5.1,-3.3
Miami,11-18-0,37.9%,-1.1,-2.4
San Antonio,9-18-0,33.3%,-4.9,-3.2
Boston,14-32-1,30.4%,4.1,-5.1
Phoenix,7-22-1,24.1%,-4.3,-7.0
