Team,ATS Record,Cover %,MOV,ATS +/-
Denver,580-515-21,53.0%,2.9,+0.5
Utah,552-493-17,52.8%,1.4,+0.5
Okla City,587-527-18,52.7%,1.9,+0.5
San Antonio,593-547-23,52.0%,3.6,+0.3
Phoenix,564-523-17,51.9%,1.3,+0.4
Memphis,518-489-22,51.4%,0.3,+0.5
New York,531-504-12,51.3%,-1.3,+0.4
Philadelphia,524-500-21,51.2%,-0.4,+0.1
Dallas,571-546-25,51.1%,2.3,0.0
Boston,598-572-19,51.1%,3.3,+0.3
Golden State,546-527-24,50.9%,2.6,+0.1
Orlando,527-515-23,50.6%,-0.8,+0.2
Brooklyn,511-500-23,50.5%,-1.3,0.0
Indiana,523-513-24,50.5%,0.9,+0.3
Miami,587-576-24,50.5%,2.0,0.0
Toronto,549-539-19,50.5%,0.8,+0.3
Houston,530-525-18,50.2%,1.7,+0.3
Chicago,500-500-11,50.0%,-0.3,+0.1
Charlotte,449-450-21,49.9%,-3.2,-0.1
Sacramento,488-499-24,49.4%,-1.4,-0.3
Atlanta,509-524-12,49.3%,-1.1,-0.3
Cleveland,507-524-24,49.2%,0.8,-0.2
LA Clippers,511-529-13,49.1%,1.4,+0.1
Detroit,498-516-27,49.1%,-0.8,-0.1
Milwaukee,480-503-19,48.8%,0.5,-0.7
New Orleans,486-526-20,48.0%,-1.0,-0.1
Washington,475-524-25,47.6%,-2.2,-0.2
Portland,502-558-14,47.4%,-1.7,-0.9
LA Lakers,536-612-26,46.7%,0.6,-0.5
Minnesota,476-544-16,46.7%,-1.4,-0.4
