Team,Over Record,Over %,Under %,Total +/-
Phoenix,514-439-9,53.9%,46.1%,+1.3
Washington,387-352-13,52.4%,47.6%,+1.7
Milwaukee,476-449-7,51.5%,48.5%,+0.7
New York,382-366-8,51.1%,48.9%,+0.8
Toronto,461-443-10,51.0%,49.0%,+1.1
Portland,439-428-14,50.6%,49.4%,+0.6
Minnesota,375-367-3,50.5%,49.5%,-0.3
Utah,474-464-13,50.5%,49.5%,+0.7
Okla City,503-500-14,50.2%,49.9%,+0.2
Sacramento,367-368-16,49.9%,50.1%,-0.1
Atlanta,430-433-7,49.8%,50.2%,+0.6
Philadelphia,420-423-13,49.8%,50.2%,-0.1
Detroit,408-412-22,49.8%,50.2%,+0.1
Cleveland,498-506-9,49.6%,50.4%,+0.5
Charlotte,315-323-4,49.4%,50.6%,-0.1
Denver,527-542-10,49.3%,50.7%,+0.1
Golden State,517-532-19,49.3%,50.7%,-0.1
LA Clippers,467-490-20,48.8%,51.2%,-0.2
Dallas,525-552-15,48.8%,51.3%,-0.1
Miami,544-576-10,48.6%,51.4%,-0.1
Memphis,443-470-12,48.5%,51.5%,+0.1
Brooklyn,389-416-5,48.3%,51.7%,+0.3
Boston,551-594-16,48.1%,51.9%,+0.2
New Orleans,387-418-16,48.1%,51.9%,-0.1
LA Lakers,481-522-12,48.0%,52.0%,-0.6
Chicago,430-468-7,47.9%,52.1%,+0.3
San Antonio,562-618-14,47.6%,52.4%,-0.4
Orlando,378-422-11,47.3%,52.8%,-0.3
Houston,472-534-11,46.9%,53.1%,-0.4
Indiana,442-515-13,46.2%,53.8%,-0.6
