Team,Over Record,Over %,Under %,Total +/-
Denver,22-12-0,64.7%,35.3%,+7.8
Okla City,20-12-1,62.5%,37.5%,+1.3
Sacramento,18-11-2,62.1%,37.9%,+2.5
Atlanta,21-13-0,61.8%,38.2%,+1.5
Cleveland,21-14-0,60.0%,40.0%,+1.5
Miami,19-13-0,59.4%,40.6%,+2.7
Washington,19-13-0,59.4%,40.6%,+2.0
Toronto,21-15-0,58.3%,41.7%,+0.2
New Orleans,19-14-1,57.6%,42.4%,+2.9
Utah,18-14-1,56.3%,43.8%,+0.7
San Antonio,19-15-0,55.9%,44.1%,+6.3
Minnesota,19-15-0,55.9%,44.1%,+2.8
Portland,17-14-2,54.8%,45.2%,+2.4
Milwaukee,19-16-0,54.3%,45.7%,+1.4
Boston,19-16-0,54.3%,45.7%,-0.5
Indiana,16-14-0,53.3%,46.7%,+1.2
New York,17-15-0,53.1%,46.9%,+3.3
Golden State,18-16-0,52.9%,47.1%,-2.2
Philadelphia,17-16-1,51.5%,48.5%,+2.7
Chicago,17-18-0,48.6%,51.4%,-0.6
Memphis,17-19-0,47.2%,52.8%,+1.7
Detroit,16-18-0,47.1%,52.9%,+1.9
LA Clippers,15-17-1,46.9%,53.1%,-2.3
Brooklyn,15-18-0,45.5%,54.6%,-2.8
Houston,15-19-1,44.1%,55.9%,-4.7
Dallas,15-20-0,42.9%,57.1%,-2.5
LA Lakers,14-19-0,42.4%,57.6%,-2.8
Orlando,13-21-0,38.2%,61.8%,-3.4
Phoenix,12-20-0,37.5%,62.5%,-2.2
Charlotte,10-24-0,29.4%,70.6%,-5.5
