Team,Over Record,Over %,Under %,Total +/-
Utah,489-449-15,52.1%,47.9%,+0.6
Washington,499-461-18,52.0%,48.0%,+1.3
Okla City,502-471-12,51.6%,48.4%,+0.8
Atlanta,524-492-10,51.6%,48.4%,+0.8
Denver,485-456-15,51.5%,48.5%,+0.8
Sacramento,447-422-16,51.4%,48.6%,+0.9
Minnesota,484-461-11,51.2%,48.8%,+0.2
Milwaukee,485-463-17,51.2%,48.8%,+0.7
New York,480-461-9,51.0%,49.0%,+1.2
San Antonio,534-513-13,51.0%,49.0%,+0.6
Miami,548-542-13,50.3%,49.7%,+0.1
Portland,460-455-5,50.3%,49.7%,+0.5
New Orleans,463-458-13,50.3%,49.7%,+0.8
Phoenix,467-467-11,50.0%,50.0%,-0.1
Golden State,477-481-13,49.8%,50.2%,-0.5
Memphis,490-501-7,49.5%,50.6%,+0.5
Detroit,481-493-19,49.4%,50.6%,+0.1
Boston,557-572-6,49.3%,50.7%,-0.1
Toronto,499-513-14,49.3%,50.7%,+0.4
Dallas,499-519-11,49.0%,51.0%,+0.2
Indiana,497-520-18,48.9%,51.1%,+0.1
LA Lakers,470-492-8,48.9%,51.1%,-0.3
LA Clippers,432-458-16,48.5%,51.5%,-0.5
Chicago,468-505-10,48.1%,51.9%,-0.1
Houston,469-509-14,48.0%,52.0%,-0.2
Charlotte,437-477-13,47.8%,52.2%,-0.1
Brooklyn,461-507-14,47.6%,52.4%,0.0
Cleveland,480-532-7,47.4%,52.6%,-0.3
Philadelphia,459-510-14,47.4%,52.6%,-0.8
Orlando,459-520-14,46.9%,53.1%,-0.4
