Team,ATS Record,Cover %,MOV,ATS +/-
San Antonio,689-604-31,53.3%,7.9,+0.7
Okla City,541-489-14,52.5%,6.9,+0.2
Utah,492-461-21,51.6%,6.5,-0.1
Memphis,446-420-16,51.5%,5.2,-0.2
New York,343-325-6,51.4%,4.5,-0.5
Portland,417-397-12,51.2%,5.3,-0.2
LA Clippers,523-499-14,51.2%,6.3,0.0
Golden State,565-542-24,51.0%,7.6,+0.1
Denver,564-546-19,50.8%,6.2,-0.3
Toronto,451-437-12,50.8%,5.7,-0.2
Indiana,482-467-20,50.8%,5.4,-0.3
Miami,610-592-26,50.8%,5.7,-0.4
Phoenix,509-495-16,50.7%,5.8,-0.6
Philadelphia,406-401-16,50.3%,5.2,-0.4
Charlotte,242-240-5,50.2%,4.4,-0.3
Milwaukee,488-485-25,50.2%,5.6,-0.7
Boston,639-636-24,50.1%,6.5,-0.2
Cleveland,509-510-23,50.0%,6.5,-0.3
Detroit,403-406-16,49.8%,5.2,-0.6
Orlando,376-380-14,49.7%,5.0,-0.8
Chicago,412-418-13,49.6%,4.9,-0.6
Houston,527-536-15,49.6%,6.1,-0.3
Dallas,561-571-29,49.6%,5.8,-0.6
Atlanta,395-412-10,49.0%,4.3,-1.1
Brooklyn,340-358-14,48.7%,4.0,-1.2
New Orleans,356-381-13,48.3%,4.1,-1.1
Sacramento,311-352-20,46.9%,3.9,-1.5
LA Lakers,482-555-20,46.5%,5.4,-1.2
Washington,295-353-13,45.5%,3.9,-1.1
Minnesota,333-409-11,44.9%,4.7,-1.0
