Team,Over Record,Over %,Under %,Total +/-
Atlanta,18-4-0,81.8%,18.2%,+9.9
Cleveland,12-5-0,70.6%,29.4%,+3.3
Utah,6-3-0,66.7%,33.3%,+0.2
Houston,10-5-0,66.7%,33.3%,+9.0
Toronto,9-6-0,60.0%,40.0%,-4.7
Philadelphia,9-7-1,56.3%,43.8%,+2.3
New Orleans,6-5-0,54.6%,45.5%,+3.0
Miami,7-6-0,53.9%,46.2%,+3.3
Memphis,8-7-0,53.3%,46.7%,-0.1
Okla City,8-7-1,53.3%,46.7%,+0.2
Sacramento,10-9-1,52.6%,47.4%,0.0
Washington,10-10-0,50.0%,50.0%,-2.4
Minnesota,9-9-0,50.0%,50.0%,-2.1
LA Lakers,9-9-0,50.0%,50.0%,+0.4
Indiana,7-7-0,50.0%,50.0%,-0.3
Charlotte,6-6-0,50.0%,50.0%,+0.3
Orlando,8-8-0,50.0%,50.0%,+2.5
Detroit,8-8-0,50.0%,50.0%,+3.1
LA Clippers,9-10-0,47.4%,52.6%,-0.6
Golden State,9-10-0,47.4%,52.6%,+0.4
Chicago,8-9-0,47.1%,52.9%,+0.1
Portland,7-8-2,46.7%,53.3%,+1.6
San Antonio,7-8-0,46.7%,53.3%,-2.4
Boston,7-9-0,43.8%,56.3%,+0.6
New York,8-11-1,42.1%,57.9%,-0.8
Milwaukee,8-11-0,42.1%,57.9%,-3.2
Denver,5-7-0,41.7%,58.3%,+3.8
Dallas,5-7-0,41.7%,58.3%,-0.1
Brooklyn,8-12-0,40.0%,60.0%,+0.8
Phoenix,2-10-0,16.7%,83.3%,-6.4
