Team,Over Record,Over %,Under %,Total +/-
Denver,225-171-7,56.8%,43.2%,+3.0
Indiana,245-194-8,55.8%,44.2%,+2.0
San Antonio,241-191-7,55.8%,44.2%,+2.5
Minnesota,266-217-8,55.1%,44.9%,+1.6
Atlanta,252-215-6,54.0%,46.0%,+2.2
Houston,228-202-9,53.0%,47.0%,+1.6
Washington,269-239-6,53.0%,47.1%,+0.9
Philadelphia,247-223-3,52.6%,47.5%,+0.7
Sacramento,253-230-8,52.4%,47.6%,+1.3
Toronto,216-198-0,52.2%,47.8%,+0.3
Okla City,205-189-8,52.0%,48.0%,+1.0
Milwaukee,197-185-6,51.6%,48.4%,+0.2
New Orleans,248-233-4,51.6%,48.4%,+0.4
Portland,240-228-5,51.3%,48.7%,+0.8
Boston,188-180-3,51.1%,48.9%,-0.2
Cleveland,215-206-3,51.1%,48.9%,0.0
Utah,220-212-7,50.9%,49.1%,+1.0
LA Lakers,247-240-3,50.7%,49.3%,-0.3
LA Clippers,186-191-6,49.3%,50.7%,+1.2
Dallas,223-230-6,49.2%,50.8%,+0.7
Miami,216-224-3,49.1%,50.9%,-0.9
Chicago,232-246-6,48.5%,51.5%,0.0
Phoenix,234-249-5,48.5%,51.6%,+0.3
Detroit,258-275-6,48.4%,51.6%,+0.3
Brooklyn,241-264-8,47.7%,52.3%,-0.2
Charlotte,237-267-6,47.0%,53.0%,-0.3
Orlando,242-285-6,45.9%,54.1%,-1.1
New York,229-273-6,45.6%,54.4%,-0.9
Memphis,203-242-5,45.6%,54.4%,-0.6
Golden State,154-187-2,45.2%,54.8%,-0.7
