Team,Over Record,Over %,Under %,Total +/-
Washington,247-197-8,55.6%,44.4%,+2.2
New Orleans,248-199-4,55.5%,44.5%,+1.6
Boston,269-233-6,53.6%,46.4%,+1.0
San Antonio,240-209-3,53.5%,46.6%,+1.7
Atlanta,247-217-5,53.2%,46.8%,+1.9
Denver,248-221-5,52.9%,47.1%,+1.9
Sacramento,229-205-7,52.8%,47.2%,+1.5
Milwaukee,250-224-3,52.7%,47.3%,+1.2
Miami,247-225-3,52.3%,47.7%,+1.2
Cleveland,253-232-8,52.2%,47.8%,+1.1
Toronto,247-227-3,52.1%,47.9%,+0.6
Okla City,234-218-10,51.8%,48.2%,+1.2
Minnesota,234-219-3,51.7%,48.3%,-0.8
Detroit,223-210-9,51.5%,48.5%,+0.7
Portland,231-220-8,51.2%,48.8%,+1.7
Philadelphia,237-228-3,51.0%,49.0%,+0.5
Indiana,231-225-3,50.7%,49.3%,+1.0
Houston,231-232-11,49.9%,50.1%,-0.2
Phoenix,228-232-3,49.6%,50.4%,-0.4
Golden State,244-265-9,47.9%,52.1%,-0.8
Utah,216-236-5,47.8%,52.2%,-0.2
Brooklyn,212-235-5,47.4%,52.6%,-1.1
LA Clippers,218-246-9,47.0%,53.0%,-0.2
Orlando,204-233-3,46.7%,53.3%,-0.4
Chicago,207-240-5,46.3%,53.7%,-0.8
Memphis,208-245-11,45.9%,54.1%,-0.7
New York,207-244-5,45.9%,54.1%,-0.1
LA Lakers,206-246-2,45.6%,54.4%,-2.2
Dallas,205-251-7,45.0%,55.0%,-0.7
Charlotte,194-239-5,44.8%,55.2%,-1.0
