Team,ATS Record,Cover %,MOV,ATS +/-
Charlotte,1-0-0,100.0%,-4.0,+1.0
Utah,2-0-0,100.0%,10.0,+17.5
Toronto,1-0-0,100.0%,20.0,+25.5
Houston,1-0-0,100.0%,-1.0,+5.5
San Antonio,1-0-0,100.0%,33.0,+36.5
New York,1-0-0,100.0%,8.0,+9.5
Chicago,2-0-0,100.0%,8.0,+12.5
Detroit,1-0-0,100.0%,4.0,+10.5
Milwaukee,1-0-0,100.0%,6.0,+8.0
Miami,2-0-0,100.0%,14.0,+19.5
Philadelphia,1-0-0,100.0%,1.0,+7.0
Portland,2-0-0,100.0%,8.0,+11.5
Atlanta,1-1-0,50.0%,-6.5,+0.8
LA Lakers,1-1-0,50.0%,4.0,+6.0
Brooklyn,1-1-0,50.0%,-13.0,-4.8
Washington,1-1-0,50.0%,-1.5,+8.0
Indiana,1-1-0,50.0%,-15.5,-10.8
Denver,0-1-0,0.0%,-6.0,-4.5
Phoenix,0-2-0,0.0%,-24.5,-13.0
New Orleans,0-1-1,0.0%,-5.0,-1.0
Sacramento,0-1-0,0.0%,-4.0,-0.5
Boston,0-1-0,0.0%,-10.0,-6.0
