Team,ATS Record,Cover %,MOV,ATS +/-
Boston,372-312-15,54.4%,-3.2,+1.9
Dallas,405-343-10,54.1%,-4.0,+1.2
Okla City,433-387-21,52.8%,-5.7,+0.5
Golden State,408-369-16,52.5%,-5.4,+0.5
Denver,396-363-18,52.2%,-4.3,+0.9
Miami,395-368-18,51.8%,-4.6,+0.9
Indiana,462-442-24,51.1%,-4.4,+1.1
New Orleans,530-510-20,51.0%,-5.2,+1.1
Toronto,474-460-23,50.8%,-5.0,+0.7
Memphis,486-472-16,50.7%,-5.3,+0.8
Chicago,504-491-13,50.7%,-5.0,+0.8
Sacramento,547-534-25,50.6%,-6.2,+0.3
New York,555-557-18,49.9%,-5.9,+0.4
Houston,393-397-12,49.8%,-4.9,+0.9
Philadelphia,505-516-16,49.5%,-6.4,+0.2
Brooklyn,552-564-21,49.5%,-6.3,+0.2
Utah,429-439-16,49.4%,-5.9,+0.3
Orlando,515-528-24,49.4%,-6.2,+0.2
San Antonio,312-320-8,49.4%,-5.6,0.0
Detroit,493-513-27,49.0%,-6.0,+0.4
Charlotte,570-601-30,48.7%,-7.1,-0.1
Cleveland,417-440-14,48.7%,-6.6,-0.2
LA Lakers,417-442-13,48.5%,-5.8,+0.5
Portland,483-513-15,48.5%,-6.5,-0.1
Minnesota,500-532-17,48.5%,-6.2,+0.2
Milwaukee,413-441-11,48.4%,-5.8,-0.1
Washington,555-593-26,48.3%,-6.6,0.0
Phoenix,408-437-13,48.3%,-6.2,+0.1
Atlanta,507-545-9,48.2%,-5.9,+0.2
LA Clippers,387-439-7,46.9%,-6.0,-0.1
