Team,Over Record,Over %,Under %,Total +/-
Sacramento,1-0-0,100.0%,0.0%,+22.0
Houston,2-0-0,100.0%,0.0%,+14.3
Charlotte,2-0-0,100.0%,0.0%,+14.3
Washington,1-0-0,100.0%,0.0%,+12.0
Minnesota,2-0-0,100.0%,0.0%,+11.8
Phoenix,2-0-0,100.0%,0.0%,+13.8
Chicago,4-1-0,80.0%,20.0%,+3.9
Golden State,3-1-0,75.0%,25.0%,+4.4
Milwaukee,3-1-0,75.0%,25.0%,+9.0
LA Lakers,3-1-0,75.0%,25.0%,+8.4
Philadelphia,3-1-0,75.0%,25.0%,+14.5
Memphis,2-1-0,66.7%,33.3%,+9.3
Detroit,2-1-0,66.7%,33.3%,-3.3
Toronto,1-1-0,50.0%,50.0%,-7.5
Dallas,1-1-0,50.0%,50.0%,-13.0
Utah,1-1-0,50.0%,50.0%,+4.3
Okla City,3-3-0,50.0%,50.0%,-1.4
San Antonio,2-3-0,40.0%,60.0%,-1.7
Boston,1-2-0,33.3%,66.7%,-5.8
Miami,1-2-0,33.3%,66.7%,-3.2
Denver,1-2-0,33.3%,66.7%,-13.3
Portland,1-2-0,33.3%,66.7%,+2.3
Atlanta,1-2-0,33.3%,66.7%,-7.0
New York,0-2-0,0.0%,100.0%,-20.0
LA Clippers,0-2-0,0.0%,100.0%,-26.3
Cleveland,0-3-0,0.0%,100.0%,-8.8
Orlando,0-2-0,0.0%,100.0%,-16.3
