Team,Over Record,Over %,Under %,Total +/-
Milwaukee,975-898-21,52.1%,47.9%,+0.9
Denver,990-922-21,51.8%,48.2%,+1.0
Atlanta,966-914-18,51.4%,48.6%,+1.0
Minnesota,931-882-22,51.4%,48.7%,+0.6
Washington,932-884-32,51.3%,48.7%,+1.0
Sacramento,910-865-33,51.3%,48.7%,+0.9
Phoenix,958-915-21,51.2%,48.9%,+0.5
Utah,940-909-25,50.8%,49.2%,+0.8
Toronto,944-920-16,50.6%,49.4%,+0.8
Portland,922-913-23,50.3%,49.8%,+0.6
Okla City,957-952-28,50.1%,49.9%,+0.4
San Antonio,975-980-27,49.9%,50.1%,+0.4
Philadelphia,923-928-28,49.9%,50.1%,+0.1
LA Lakers,967-974-18,49.8%,50.2%,-0.1
LA Clippers,927-943-32,49.6%,50.4%,+0.2
Golden State,957-975-23,49.5%,50.5%,+0.2
Indiana,942-960-31,49.5%,50.5%,+0.2
Detroit,917-935-34,49.5%,50.5%,+0.1
Boston,998-1018-22,49.5%,50.5%,+0.3
New York,902-921-18,49.5%,50.5%,+0.4
New Orleans,895-914-24,49.5%,50.5%,+0.2
Cleveland,954-976-18,49.4%,50.6%,+0.3
Miami,994-1017-19,49.4%,50.6%,-0.2
Dallas,946-971-26,49.4%,50.7%,+0.3
Charlotte,830-852-22,49.4%,50.7%,+0.2
Houston,919-956-29,49.0%,51.0%,+0.3
Brooklyn,904-944-20,48.9%,51.1%,+0.4
Chicago,900-949-20,48.7%,51.3%,+0.4
Memphis,895-967-22,48.1%,51.9%,-0.1
Orlando,876-958-29,47.8%,52.2%,-0.4
