Team,ATS Record,Cover %,MOV,ATS +/-
Chicago,6-1-0,85.7%,4.9,+7.5
LA Lakers,7-2-0,77.8%,3.0,+5.5
Detroit,6-2-0,75.0%,4.4,+2.3
Portland,6-2-0,75.0%,2.6,+3.7
Philadelphia,6-2-0,75.0%,4.0,+5.6
Houston,5-2-0,71.4%,13.0,+6.5
New York,5-3-0,62.5%,5.3,+0.6
Indiana,5-3-0,62.5%,-7.9,-2.8
Miami,5-3-0,62.5%,4.8,+9.3
Utah,5-3-0,62.5%,-4.0,+0.8
Milwaukee,5-3-0,62.5%,0.8,+0.4
San Antonio,3-2-2,60.0%,8.3,+4.3
Denver,4-3-0,57.1%,11.0,+2.9
Golden State,5-4-0,55.6%,2.1,-2.2
Sacramento,4-4-0,50.0%,-3.5,-0.4
Toronto,4-4-0,50.0%,2.5,+3.8
Charlotte,4-4-0,50.0%,0.0,+2.6
Phoenix,4-4-0,50.0%,-3.4,+1.1
Okla City,4-5-0,44.4%,11.6,+2.4
New Orleans,3-4-1,42.9%,-12.9,-6.1
Brooklyn,3-4-1,42.9%,-12.6,-3.6
Atlanta,3-5-0,37.5%,-0.8,0.0
Dallas,3-5-0,37.5%,-7.5,-7.1
Boston,3-6-0,33.3%,4.0,+1.7
Cleveland,2-6-0,25.0%,1.6,-4.3
Orlando,2-6-0,25.0%,-1.4,-6.9
Minnesota,2-6-0,25.0%,-1.8,-5.6
Memphis,2-7-0,22.2%,-6.0,-4.4
LA Clippers,1-6-0,14.3%,-3.4,-9.2
Washington,1-7-0,12.5%,-16.3,-7.3
