Team,Over Record,Over %,Under %,Total +/-
Denver,1-0-0,100.0%,0.0%,+35.0
LA Clippers,1-0-0,100.0%,0.0%,+13.5
New York,1-0-0,100.0%,0.0%,+1.0
LA Lakers,7-0-0,100.0%,0.0%,+8.6
Houston,1-0-0,100.0%,0.0%,+23.0
Minnesota,2-0-0,100.0%,0.0%,+17.0
Sacramento,4-1-0,80.0%,20.0%,+8.3
Phoenix,4-2-0,66.7%,33.3%,+9.1
Brooklyn,5-3-0,62.5%,37.5%,+6.1
Portland,3-2-0,60.0%,40.0%,+4.1
Philadelphia,3-2-0,60.0%,40.0%,+4.0
Chicago,3-2-0,60.0%,40.0%,+1.5
Milwaukee,3-2-0,60.0%,40.0%,-1.2
New Orleans,4-3-0,57.1%,42.9%,-2.4
Washington,4-3-0,57.1%,42.9%,+5.8
Miami,4-3-0,57.1%,42.9%,+7.0
Golden State,1-1-0,50.0%,50.0%,-18.0
Boston,2-2-0,50.0%,50.0%,-6.8
Toronto,2-2-0,50.0%,50.0%,+3.1
Dallas,2-2-0,50.0%,50.0%,-1.0
Detroit,1-1-1,50.0%,50.0%,+1.2
Charlotte,3-4-0,42.9%,57.1%,+2.6
Memphis,2-3-0,40.0%,60.0%,-6.5
Utah,2-4-0,33.3%,66.7%,-7.6
Indiana,2-5-0,28.6%,71.4%,+0.8
Atlanta,1-3-0,25.0%,75.0%,-7.6
San Antonio,0-1-0,0.0%,100.0%,-7.0
