Team,Over Record,Over %,Under %,Total +/-
Washington,92-57-2,61.7%,38.3%,+3.7
Minnesota,82-53-2,60.7%,39.3%,+4.4
Denver,77-61-0,55.8%,44.2%,+1.0
Philadelphia,79-63-2,55.6%,44.4%,+2.3
Orlando,80-66-2,54.8%,45.2%,+0.3
Charlotte,80-66-1,54.8%,45.2%,+1.4
Okla City,76-64-4,54.3%,45.7%,+2.1
Boston,76-65-4,53.9%,46.1%,+1.9
Dallas,75-65-3,53.6%,46.4%,+1.3
Houston,76-66-1,53.5%,46.5%,+0.9
Toronto,77-68-1,53.1%,46.9%,+0.8
LA Lakers,71-63-3,53.0%,47.0%,+1.5
LA Clippers,78-73-1,51.7%,48.3%,-0.1
Miami,71-67-1,51.5%,48.6%,-0.2
Indiana,73-69-3,51.4%,48.6%,+1.6
Phoenix,71-68-2,51.1%,48.9%,+0.4
New Orleans,72-69-2,51.1%,48.9%,+0.7
San Antonio,71-69-3,50.7%,49.3%,+1.5
Chicago,74-72-1,50.7%,49.3%,-1.3
Golden State,73-73-4,50.0%,50.0%,+0.5
New York,69-69-0,50.0%,50.0%,+0.1
Utah,71-72-1,49.7%,50.4%,+1.4
Atlanta,75-77-1,49.3%,50.7%,-1.1
Memphis,68-76-4,47.2%,52.8%,-0.5
Brooklyn,66-75-1,46.8%,53.2%,+0.5
Cleveland,69-81-2,46.0%,54.0%,-0.7
Portland,66-79-2,45.5%,54.5%,-1.5
Sacramento,70-85-1,45.2%,54.8%,-1.6
Milwaukee,66-82-1,44.6%,55.4%,-1.3
Detroit,62-83-4,42.8%,57.2%,-0.2
