Team,Over Record,Over %,Under %,Total +/-
Washington,88-53-2,62.4%,37.6%,+1.7
Phoenix,80-68-1,54.1%,46.0%,+1.4
Milwaukee,92-80-1,53.5%,46.5%,+1.7
Detroit,78-69-1,53.1%,46.9%,+1.3
Philadelphia,89-79-2,53.0%,47.0%,+1.4
Portland,77-69-1,52.7%,47.3%,+2.6
Memphis,80-73-3,52.3%,47.7%,+1.4
Toronto,82-76-2,51.9%,48.1%,-0.2
Denver,80-77-1,51.0%,49.0%,+1.9
Utah,80-77-1,51.0%,49.0%,+3.1
Chicago,70-68-0,50.7%,49.3%,+2.5
Charlotte,66-66-1,50.0%,50.0%,+1.1
San Antonio,72-73-1,49.7%,50.3%,0.0
Orlando,69-70-1,49.6%,50.4%,-0.5
Houston,73-75-7,49.3%,50.7%,-0.7
Minnesota,73-75-0,49.3%,50.7%,-0.2
Atlanta,73-75-0,49.3%,50.7%,+2.3
Indiana,69-72-1,48.9%,51.1%,+0.5
Boston,87-91-1,48.9%,51.1%,-0.1
Okla City,77-81-1,48.7%,51.3%,-1.6
Sacramento,74-78-1,48.7%,51.3%,+0.7
Cleveland,85-91-1,48.3%,51.7%,-0.1
Miami,79-85-0,48.2%,51.8%,0.0
New York,74-80-2,48.1%,52.0%,-0.2
Golden State,98-109-2,47.3%,52.7%,+0.1
LA Lakers,67-77-2,46.5%,53.5%,-1.0
Brooklyn,73-84-2,46.5%,53.5%,+0.3
Dallas,67-79-2,45.9%,54.1%,-0.2
New Orleans,70-83-1,45.8%,54.3%,-2.1
LA Clippers,75-90-1,45.5%,54.6%,+1.0
