Team,Over Record,Over %,Under %,Total +/-
Houston,2-0-1,100.0%,0.0%,+8.0
Detroit,1-0-0,100.0%,0.0%,+5.0
Cleveland,1-0-0,100.0%,0.0%,+18.5
Miami,1-0-0,100.0%,0.0%,+17.5
Orlando,2-0-0,100.0%,0.0%,+8.5
Portland,2-0-0,100.0%,0.0%,+17.8
Denver,1-0-0,100.0%,0.0%,+17.0
Okla City,1-0-0,100.0%,0.0%,+14.0
LA Clippers,2-0-0,100.0%,0.0%,+19.0
Sacramento,1-0-0,100.0%,0.0%,+35.0
New York,2-0-0,100.0%,0.0%,+16.0
Dallas,1-0-0,100.0%,0.0%,+5.0
Brooklyn,1-0-0,100.0%,0.0%,+1.0
San Antonio,2-1-0,66.7%,33.3%,+2.2
Charlotte,2-1-0,66.7%,33.3%,+3.0
Philadelphia,2-1-0,66.7%,33.3%,+1.8
New Orleans,1-1-0,50.0%,50.0%,+1.0
Utah,1-1-0,50.0%,50.0%,+20.3
Golden State,1-1-0,50.0%,50.0%,-0.8
LA Lakers,1-1-0,50.0%,50.0%,+3.8
Indiana,0-2-0,0.0%,100.0%,-17.5
Chicago,0-2-0,0.0%,100.0%,-14.8
Atlanta,0-1-0,0.0%,100.0%,-29.5
Minnesota,0-1-0,0.0%,100.0%,-8.0
Toronto,0-1-0,0.0%,100.0%,-29.5
Milwaukee,0-1-0,0.0%,100.0%,-4.5
