Team,Over Record,Over %,Under %,Total +/-
Sacramento,481-404-15,54.4%,45.7%,+1.9
Milwaukee,501-425-9,54.1%,45.9%,+1.6
Denver,500-444-12,53.0%,47.0%,+1.5
Atlanta,494-444-8,52.7%,47.3%,+1.6
Washington,473-425-20,52.7%,47.3%,+1.6
Detroit,480-444-20,52.0%,48.1%,+0.4
Okla City,485-459-18,51.4%,48.6%,+0.7
New Orleans,462-439-11,51.3%,48.7%,+0.5
Boston,513-488-13,51.3%,48.8%,+0.3
Golden State,496-472-14,51.2%,48.8%,+0.1
Portland,462-446-13,50.9%,49.1%,+1.5
Phoenix,476-462-9,50.8%,49.3%,0.0
Miami,505-490-9,50.8%,49.3%,+0.8
Toronto,465-461-7,50.2%,49.8%,+1.1
Minnesota,453-454-10,49.9%,50.1%,-0.6
San Antonio,484-492-8,49.6%,50.4%,+0.8
Brooklyn,454-466-7,49.4%,50.7%,-0.2
Philadelphia,451-471-10,48.9%,51.1%,-0.3
Indiana,461-482-16,48.9%,51.1%,+0.3
Dallas,463-485-13,48.8%,51.2%,+0.4
Cleveland,470-495-12,48.7%,51.3%,+0.2
New York,445-472-6,48.5%,51.5%,+0.8
Houston,448-479-17,48.3%,51.7%,-0.6
LA Lakers,461-497-8,48.1%,51.9%,-1.0
Utah,440-475-12,48.1%,51.9%,-0.1
Charlotte,401-436-12,47.9%,52.1%,-0.2
Orlando,433-474-13,47.7%,52.3%,-0.3
LA Clippers,433-493-17,46.8%,53.2%,-0.5
Memphis,433-496-12,46.6%,53.4%,-0.3
Chicago,424-505-8,45.6%,54.4%,-0.7
