Team,ATS Record,Cover %,MOV,ATS +/-
Philadelphia,3-0-0,100.0%,-3.0,+0.8
Miami,2-0-0,100.0%,3.0,+8.8
New Orleans,2-0-0,100.0%,-7.5,+6.0
Chicago,2-0-0,100.0%,-1.5,+9.5
Portland,2-0-0,100.0%,6.5,+6.8
Denver,2-0-0,100.0%,15.5,+8.5
Utah,2-0-0,100.0%,13.0,+19.5
Charlotte,3-0-0,100.0%,12.0,+18.8
Boston,2-1-0,66.7%,13.7,+10.8
Orlando,2-1-0,66.7%,2.3,-1.3
Atlanta,2-1-0,66.7%,4.3,+8.5
Indiana,2-1-0,66.7%,-10.0,+1.8
LA Lakers,2-1-0,66.7%,6.0,+10.7
Dallas,2-1-0,66.7%,-8.3,-2.0
New York,1-1-0,50.0%,0.0,-8.3
Phoenix,1-1-0,50.0%,6.5,+11.3
LA Clippers,1-1-0,50.0%,-10.5,-3.5
San Antonio,1-1-0,50.0%,12.5,+5.0
Golden State,2-3-0,40.0%,-3.0,+0.1
Detroit,1-2-0,33.3%,-3.7,-7.0
Cleveland,1-2-0,33.3%,4.7,-1.3
Okla City,1-2-0,33.3%,11.0,+3.5
Memphis,1-2-0,33.3%,-6.3,-2.8
Brooklyn,0-2-0,0.0%,-22.0,-9.0
Washington,0-1-0,0.0%,-6.0,-1.5
Toronto,0-2-0,0.0%,-14.0,-9.0
Milwaukee,0-3-0,0.0%,-16.7,-17.5
Sacramento,0-2-0,0.0%,-23.0,-18.5
Minnesota,0-3-0,0.0%,-5.7,-5.7
