Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,234-194-10,54.7%,5.5,+1.5
Philadelphia,231-197-7,54.0%,2.9,+0.4
Memphis,223-198-4,53.0%,2.0,+0.9
Utah,216-195-12,52.6%,4.5,+0.7
Boston,242-222-10,52.2%,7.1,+0.5
Indiana,218-201-14,52.0%,3.3,+0.9
San Antonio,215-200-2,51.8%,2.8,+0.3
Golden State,236-225-12,51.2%,7.0,+0.1
Toronto,221-211-7,51.2%,4.1,+0.3
Milwaukee,218-212-12,50.7%,5.9,+0.1
LA Clippers,217-213-3,50.5%,4.8,-0.1
Denver,219-216-8,50.3%,5.7,+0.6
Detroit,200-199-10,50.1%,-0.7,+0.2
New York,212-211-7,50.1%,1.0,+0.2
Portland,207-207-9,50.0%,0.8,0.0
LA Lakers,206-208-5,49.8%,1.6,+0.2
Dallas,210-213-8,49.7%,2.5,+0.2
New Orleans,203-206-7,49.6%,0.5,-0.3
Chicago,198-207-6,48.9%,-1.1,-1.1
Orlando,195-204-8,48.9%,-0.8,-0.3
Miami,210-220-12,48.8%,2.9,-0.6
Atlanta,207-217-2,48.8%,0.8,-0.6
Charlotte,194-204-6,48.7%,-0.7,-0.1
Washington,198-210-4,48.5%,-1.1,-0.5
Phoenix,205-222-3,48.0%,0.8,-0.9
Cleveland,211-232-9,47.6%,3.1,-0.4
Houston,198-223-9,47.0%,2.9,-0.1
Minnesota,192-228-8,45.7%,2.3,-0.3
Brooklyn,185-222-8,45.5%,-1.1,-0.7
Sacramento,179-216-12,45.3%,-1.2,-1.7
