Team,ATS Record,Cover %,MOV,ATS +/-
Portland,79-64-5,55.2%,-0.6,+1.7
Miami,74-62-4,54.4%,-0.9,+0.5
Dallas,76-66-4,53.5%,-1.8,+1.0
Toronto,77-67-3,53.5%,-0.4,+0.8
Boston,76-68-2,52.8%,3.6,+1.0
Denver,73-66-2,52.5%,1.3,+1.5
Orlando,76-70-4,52.1%,-5.3,-0.4
Phoenix,73-68-1,51.8%,-3.3,-0.5
New Orleans,75-70-0,51.7%,-3.9,-0.5
LA Lakers,71-67-0,51.5%,-3.1,-0.3
Detroit,75-72-4,51.0%,-4.3,+0.4
Memphis,76-73-0,51.0%,-2.1,+0.3
Milwaukee,75-73-3,50.7%,1.5,0.0
Charlotte,74-72-3,50.7%,-3.7,+1.0
Utah,70-69-6,50.4%,0.5,+0.8
Washington,76-75-2,50.3%,-4.1,+0.2
Minnesota,66-67-6,49.6%,-1.6,+0.4
Sacramento,75-78-5,49.0%,-5.8,-1.2
Okla City,70-73-2,49.0%,-1.7,-0.9
Golden State,72-76-4,48.7%,2.3,-0.8
San Antonio,69-73-2,48.6%,-1.9,-0.4
LA Clippers,74-79-1,48.4%,1.5,+0.9
Chicago,71-76-3,48.3%,-3.7,-0.5
Philadelphia,69-75-2,47.9%,-3.0,-0.6
Cleveland,70-79-5,47.0%,-2.3,-1.5
New York,63-73-3,46.3%,-2.9,-0.1
Indiana,66-78-2,45.8%,-2.6,-0.7
Atlanta,70-83-3,45.8%,-2.5,-1.4
Houston,61-78-4,43.9%,-1.9,-0.7
Brooklyn,60-80-2,42.9%,-7.7,-3.0
