Team,Over Record,Over %,Under %,Total +/-
Minnesota,101-80-2,55.8%,44.2%,+2.8
Denver,121-100-0,54.8%,45.3%,+1.9
New Orleans,107-93-3,53.5%,46.5%,+0.5
Toronto,107-96-1,52.7%,47.3%,+1.5
Memphis,98-88-3,52.7%,47.3%,+0.5
San Antonio,101-91-3,52.6%,47.4%,+1.6
Philadelphia,109-100-3,52.2%,47.9%,+1.4
Phoenix,97-89-2,52.2%,47.9%,+1.7
Charlotte,90-83-1,52.0%,48.0%,+0.7
Orlando,97-91-2,51.6%,48.4%,-0.2
Boston,115-109-4,51.3%,48.7%,+1.1
Brooklyn,101-96-1,51.3%,48.7%,+0.9
Washington,94-91-1,50.8%,49.2%,+1.0
LA Clippers,111-109-3,50.5%,49.6%,+0.9
Atlanta,99-98-1,50.3%,49.8%,+0.8
Dallas,99-98-3,50.3%,49.8%,-0.1
Golden State,103-102-3,50.2%,49.8%,0.0
Indiana,95-95-3,50.0%,50.0%,+1.1
LA Lakers,107-108-2,49.8%,50.2%,-0.1
Miami,95-96-1,49.7%,50.3%,-0.7
Houston,92-95-1,49.2%,50.8%,+0.8
Cleveland,96-101-3,48.7%,51.3%,-0.3
Chicago,81-89-2,47.7%,52.4%,-0.3
Okla City,99-110-5,47.4%,52.6%,-0.4
Portland,95-107-5,47.0%,53.0%,-0.7
Utah,94-106-4,47.0%,53.0%,+0.4
Milwaukee,95-108-0,46.8%,53.2%,-1.1
Sacramento,94-109-1,46.3%,53.7%,-1.2
Detroit,87-104-6,45.6%,54.5%,+0.2
New York,83-102-1,44.9%,55.1%,-1.5
