Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,1-0-0,100.0%,31.0,+19.5
LA Lakers,4-0-0,100.0%,10.8,+8.5
Philadelphia,6-2-0,75.0%,0.9,0.0
Detroit,3-1-0,75.0%,5.8,+7.8
Houston,3-1-0,75.0%,13.3,+5.1
Miami,5-2-0,71.4%,7.4,+8.4
Boston,6-3-0,66.7%,10.4,+7.9
Phoenix,6-3-0,66.7%,4.0,+6.0
Portland,7-4-0,63.6%,2.4,+3.9
Orlando,5-3-0,62.5%,4.8,+1.7
Atlanta,5-3-0,62.5%,6.8,+7.1
Utah,8-5-0,61.5%,-7.2,-0.5
San Antonio,3-2-0,60.0%,6.8,+6.1
Denver,3-2-0,60.0%,12.6,+3.4
New Orleans,9-7-1,56.3%,-12.5,-3.6
Brooklyn,8-7-1,53.3%,-8.3,+1.8
New York,3-3-0,50.0%,2.5,-4.5
Chicago,5-5-0,50.0%,-3.2,-2.1
Golden State,5-5-0,50.0%,3.7,-1.6
Minnesota,4-4-0,50.0%,9.4,+2.3
Charlotte,7-7-0,50.0%,-4.6,+0.4
Dallas,7-8-0,46.7%,-2.3,-0.3
Indiana,7-9-0,43.8%,-10.0,-5.0
Milwaukee,5-7-0,41.7%,0.2,0.0
Memphis,5-7-0,41.7%,-1.4,+1.5
Washington,6-10-0,37.5%,-12.4,-1.7
Cleveland,3-6-0,33.3%,4.9,-1.7
Sacramento,5-10-0,33.3%,-11.9,-6.2
LA Clippers,4-11-0,26.7%,-5.5,-6.0
Toronto,1-5-0,16.7%,-7.8,-5.9
