Team,ATS Record,Cover %,MOV,ATS +/-
Boston,197-141-3,58.3%,5.2,+1.7
Dallas,243-192-9,55.9%,0.6,+1.8
Miami,223-180-9,55.3%,1.7,+1.4
Denver,197-162-8,54.9%,3.2,+1.7
Indiana,227-191-10,54.3%,1.1,+1.7
Golden State,177-160-5,52.5%,3.5,+1.0
Sacramento,233-211-13,52.5%,-2.3,-0.1
San Antonio,213-197-9,52.0%,-1.1,+0.8
Okla City,190-176-9,51.9%,-0.1,+0.4
Detroit,253-236-13,51.7%,-3.4,+0.8
Philadelphia,214-201-8,51.6%,-2.0,+0.3
New York,235-221-5,51.5%,-1.5,+1.0
Milwaukee,182-172-5,51.4%,2.6,+0.3
Chicago,231-221-6,51.1%,-2.3,+0.4
Toronto,194-188-6,50.8%,0.3,+0.5
Orlando,243-236-10,50.7%,-3.4,+0.2
Phoenix,231-225-4,50.7%,-3.2,-0.1
Memphis,218-216-4,50.2%,-1.5,+0.4
LA Clippers,183-183-3,50.0%,1.6,-0.3
LA Lakers,216-218-6,49.8%,-2.5,-0.4
New Orleans,225-235-8,48.9%,-2.2,+0.1
Portland,218-232-3,48.4%,-3.2,-0.7
Brooklyn,230-245-11,48.4%,-3.5,+0.4
Minnesota,211-225-4,48.4%,-0.3,+0.7
Utah,195-210-9,48.2%,-1.2,-0.8
Atlanta,216-237-4,47.7%,-2.0,-0.4
Charlotte,224-247-11,47.6%,-4.1,-0.5
Washington,230-256-11,47.3%,-4.3,-0.3
Houston,188-221-8,46.0%,-2.2,-0.5
Cleveland,176-218-11,44.7%,-1.8,-1.4
