Team,Over Record,Over %,Under %,Total +/-
Denver,448-357-11,55.7%,44.4%,+2.6
Indiana,476-427-18,52.7%,47.3%,+0.6
San Antonio,393-353-13,52.7%,47.3%,+1.4
Atlanta,518-470-10,52.4%,47.6%,+1.3
Milwaukee,480-437-14,52.3%,47.7%,+0.9
Minnesota,538-492-19,52.2%,47.8%,+1.1
Sacramento,531-488-17,52.1%,47.9%,+1.5
LA Lakers,466-435-6,51.7%,48.3%,+0.3
Utah,460-434-11,51.5%,48.6%,+0.9
Houston,428-404-17,51.4%,48.6%,+1.0
Boston,425-406-5,51.1%,48.9%,+0.5
Washington,540-520-19,50.9%,49.1%,+0.6
New Orleans,502-487-8,50.8%,49.2%,+0.6
Okla City,427-420-14,50.4%,49.6%,+0.7
Toronto,467-462-6,50.3%,49.7%,+0.5
LA Clippers,443-439-12,50.2%,49.8%,+0.7
Portland,472-471-9,50.1%,50.0%,+0.5
Miami,429-430-9,49.9%,50.1%,-0.4
Philadelphia,490-495-15,49.8%,50.3%,+0.1
Dallas,406-414-10,49.5%,50.5%,+0.6
Golden State,418-428-4,49.4%,50.6%,+0.5
Cleveland,440-452-9,49.3%,50.7%,0.0
Chicago,454-468-11,49.2%,50.8%,+0.4
Detroit,491-507-12,49.2%,50.8%,+0.2
Brooklyn,501-525-15,48.8%,51.2%,+0.3
Charlotte,499-527-18,48.6%,51.4%,+0.2
Phoenix,433-460-12,48.5%,51.5%,-0.2
Orlando,483-517-18,48.3%,51.7%,-0.4
New York,499-536-7,48.2%,51.8%,0.0
Memphis,437-488-9,47.2%,52.8%,-0.5
