Team,Over Record,Over %,Under %,Total +/-
Minnesota,235-193-3,54.9%,45.1%,+2.6
LA Lakers,226-192-4,54.1%,45.9%,+1.4
Washington,224-194-3,53.6%,46.4%,+0.8
Utah,222-198-7,52.9%,47.1%,+2.1
Charlotte,216-195-3,52.6%,47.5%,+1.2
Chicago,215-195-4,52.4%,47.6%,+1.9
Philadelphia,222-206-9,51.9%,48.1%,+0.8
Memphis,219-205-4,51.7%,48.4%,+1.0
Denver,226-212-3,51.6%,48.4%,+0.5
San Antonio,215-203-8,51.4%,48.6%,0.0
Phoenix,216-206-6,51.2%,48.8%,+0.8
LA Clippers,219-210-7,51.1%,49.0%,+1.0
Toronto,221-213-6,50.9%,49.1%,-0.2
Orlando,210-203-5,50.9%,49.2%,-0.4
Cleveland,227-220-1,50.8%,49.2%,0.0
Houston,214-210-5,50.5%,49.5%,+0.7
Dallas,216-215-4,50.1%,49.9%,+0.5
Indiana,215-216-8,49.9%,50.1%,+0.8
Portland,212-213-4,49.9%,50.1%,-0.3
Brooklyn,204-206-7,49.8%,50.2%,+1.6
Atlanta,214-218-6,49.5%,50.5%,+0.3
Milwaukee,217-223-5,49.3%,50.7%,+0.4
Golden State,230-237-4,49.3%,50.8%,+0.4
New York,205-213-9,49.0%,51.0%,-0.1
Detroit,197-211-7,48.3%,51.7%,+0.7
Miami,211-233-0,47.5%,52.5%,-1.6
Okla City,206-228-5,47.5%,52.5%,-0.8
New Orleans,195-219-3,47.1%,52.9%,-0.4
Sacramento,188-217-7,46.4%,53.6%,-1.1
Boston,213-248-4,46.2%,53.8%,-0.8
