Team,Over Record,Over %,Under %,Total +/-
Sacramento,356-325-11,52.3%,47.7%,+1.2
Phoenix,534-488-10,52.3%,47.8%,+0.6
Denver,601-551-12,52.2%,47.8%,+1.5
Okla City,565-521-20,52.0%,48.0%,+0.9
Washington,340-314-11,52.0%,48.0%,+1.2
Milwaukee,524-484-10,52.0%,48.0%,+1.0
Atlanta,428-399-8,51.8%,48.3%,+1.2
Charlotte,250-237-5,51.3%,48.7%,+1.5
New Orleans,381-362-10,51.3%,48.7%,+0.3
Detroit,429-408-18,51.3%,48.8%,+0.4
Miami,631-604-14,51.1%,48.9%,+0.5
Minnesota,399-386-6,50.8%,49.2%,+0.1
Cleveland,543-529-13,50.7%,49.4%,+0.8
Boston,669-652-15,50.6%,49.4%,+0.4
Toronto,459-452-9,50.4%,49.6%,+0.3
Portland,416-411-12,50.3%,49.7%,+1.2
Philadelphia,414-413-11,50.1%,49.9%,+0.2
Golden State,565-582-16,49.3%,50.7%,+0.1
Brooklyn,349-360-6,49.2%,50.8%,+0.2
Houston,535-552-21,49.2%,50.8%,-0.3
LA Clippers,516-533-13,49.2%,50.8%,-0.2
Utah,475-493-10,49.1%,50.9%,+0.2
LA Lakers,525-547-10,49.0%,51.0%,-0.1
San Antonio,645-681-16,48.6%,51.4%,+0.4
Dallas,559-598-17,48.3%,51.7%,-0.1
New York,340-367-5,48.1%,51.9%,+0.3
Indiana,468-506-15,48.1%,52.0%,-0.2
Chicago,400-458-6,46.6%,53.4%,0.0
Orlando,364-422-13,46.3%,53.7%,-1.0
Memphis,404-479-15,45.8%,54.3%,-0.2
