Team,Over Record,Over %,Under %,Total +/-
Washington,197-157-4,55.7%,44.4%,+1.0
Philadelphia,203-167-4,54.9%,45.1%,+1.6
Toronto,180-149-3,54.7%,45.3%,+1.3
Milwaukee,218-187-6,53.8%,46.2%,+1.5
Portland,176-159-2,52.5%,47.5%,+2.0
Phoenix,175-161-3,52.1%,47.9%,+0.6
Utah,186-173-2,51.8%,48.2%,+2.6
Cleveland,208-195-3,51.6%,48.4%,+1.0
Detroit,184-174-6,51.4%,48.6%,+1.7
Dallas,183-176-4,51.0%,49.0%,+1.3
Golden State,196-190-4,50.8%,49.2%,+1.1
Orlando,172-169-6,50.4%,49.6%,-0.1
Memphis,193-195-4,49.7%,50.3%,-0.1
Indiana,185-188-7,49.6%,50.4%,+0.3
Atlanta,183-186-3,49.6%,50.4%,+1.2
Boston,188-192-5,49.5%,50.5%,+0.4
Sacramento,167-172-4,49.3%,50.7%,+1.0
Minnesota,167-172-3,49.3%,50.7%,+0.4
Charlotte,160-165-5,49.2%,50.8%,+0.5
New Orleans,171-179-6,48.9%,51.1%,-0.3
Chicago,189-198-4,48.8%,51.2%,+1.2
Denver,172-182-3,48.6%,51.4%,+0.9
LA Lakers,165-175-3,48.5%,51.5%,-0.8
Houston,179-193-8,48.1%,51.9%,+0.1
LA Clippers,175-191-4,47.8%,52.2%,+0.2
Okla City,166-184-5,47.4%,52.6%,-1.2
New York,160-179-5,47.2%,52.8%,-0.7
San Antonio,168-195-7,46.3%,53.7%,-0.1
Brooklyn,164-205-3,44.4%,55.6%,-0.6
Miami,173-221-3,43.9%,56.1%,-1.2
