Team,ATS Record,Cover %,MOV,ATS +/-
Dallas,449-368-20,55.0%,2.0,+1.3
Golden State,456-385-15,54.2%,1.3,+1.3
Boston,449-382-8,54.0%,2.3,+1.0
Miami,462-395-19,53.9%,1.3,+0.8
Indiana,487-422-24,53.6%,0.6,+1.1
Okla City,451-394-20,53.4%,-0.2,+0.6
Denver,428-383-10,52.8%,1.8,+0.7
San Antonio,391-355-18,52.4%,2.0,+0.9
Chicago,483-445-12,52.1%,-0.7,+0.8
Philadelphia,508-484-14,51.2%,-2.5,+0.4
Milwaukee,471-452-16,51.0%,-0.3,+0.3
Sacramento,521-500-26,51.0%,-2.7,+0.1
Phoenix,457-440-13,51.0%,-1.1,+0.1
Toronto,468-456-19,50.7%,-1.0,+0.1
New York,520-512-14,50.4%,-2.7,+0.2
Utah,450-447-15,50.2%,-0.7,0.0
Memphis,465-462-13,50.2%,-1.4,+0.3
New Orleans,493-493-21,50.0%,-2.3,+0.2
Detroit,492-501-21,49.6%,-2.4,+0.1
Houston,417-425-13,49.5%,0.2,+0.5
Charlotte,507-522-23,49.3%,-4.7,-0.3
Orlando,493-511-21,49.1%,-2.6,-0.2
LA Lakers,439-457-18,49.0%,-1.3,-0.4
Atlanta,485-513-11,48.6%,-2.2,-0.3
Minnesota,505-537-11,48.5%,-2.2,+0.2
LA Clippers,430-463-7,48.2%,-0.6,-0.2
Portland,458-494-9,48.1%,-2.4,-0.6
Brooklyn,492-532-22,48.1%,-3.2,-0.1
Washington,509-551-27,48.0%,-3.5,-0.1
Cleveland,420-473-15,47.0%,-1.9,-0.8
