Team,ATS Record,Cover %,MOV,ATS +/-
Brooklyn,110-90-2,55.0%,0.5,+1.7
Indiana,103-88-3,53.9%,2.0,+1.0
Chicago,104-90-4,53.6%,-0.4,+0.6
Okla City,104-90-6,53.6%,5.2,+1.5
Sacramento,107-97-11,52.5%,0.0,+0.6
Boston,99-90-4,52.4%,8.2,+1.7
Atlanta,101-92-1,52.3%,0.5,+0.4
Portland,103-95-3,52.0%,-0.3,+0.4
Miami,105-99-5,51.5%,2.9,+0.6
New York,104-99-1,51.2%,-0.5,-0.3
Golden State,112-109-9,50.7%,6.4,-0.3
New Orleans,100-98-5,50.5%,0.7,+0.9
Detroit,101-99-4,50.5%,-0.1,+1.2
San Antonio,98-97-2,50.3%,2.7,+1.0
LA Clippers,108-108-2,50.0%,3.5,-1.1
Houston,98-100-1,49.5%,2.7,+0.3
Utah,92-94-4,49.5%,3.1,-0.7
Dallas,85-90-4,48.6%,1.9,+0.1
Denver,99-105-8,48.5%,3.9,-0.6
Memphis,98-104-3,48.5%,0.6,-0.1
LA Lakers,100-107-2,48.3%,1.0,-0.2
Minnesota,96-104-3,48.0%,2.3,0.0
Phoenix,105-115-4,47.7%,0.9,+0.2
Cleveland,102-112-4,47.7%,1.9,-0.7
Milwaukee,97-110-7,46.9%,4.0,-1.3
Toronto,91-105-4,46.4%,2.5,-0.1
Washington,93-108-3,46.3%,-3.1,-1.6
Philadelphia,93-109-2,46.0%,0.5,-0.7
Orlando,80-106-3,43.0%,-3.3,-1.8
Charlotte,73-98-4,42.7%,-3.7,-2.6
