Team,ATS Record,Cover %,MOV,ATS +/-
Okla City,280-235-8,54.4%,4.5,+0.9
Utah,239-204-9,54.0%,3.3,+1.0
Portland,207-194-13,51.6%,-0.7,+0.2
Toronto,259-246-7,51.3%,3.0,+0.4
New York,202-192-6,51.3%,0.0,0.0
Memphis,213-203-7,51.2%,0.3,+0.6
Philadelphia,232-222-9,51.1%,2.5,+0.1
LA Clippers,263-252-5,51.1%,3.2,+0.3
Brooklyn,182-175-4,51.0%,-1.1,-0.1
Boston,312-302-16,50.8%,5.1,+0.3
Houston,231-224-7,50.8%,3.4,+0.4
Cleveland,240-246-11,49.4%,3.2,+0.3
New Orleans,180-185-6,49.3%,-0.5,-0.1
Miami,243-252-11,49.1%,0.6,-0.4
Orlando,171-179-3,48.9%,-2.6,-1.0
San Antonio,212-222-6,48.9%,1.5,-0.4
Charlotte,160-170-7,48.5%,-2.2,-0.3
Golden State,283-305-17,48.1%,4.8,-1.0
Indiana,213-233-8,47.8%,-0.4,-0.8
Chicago,171-188-9,47.6%,-2.5,-1.1
Milwaukee,255-281-14,47.6%,3.0,-1.3
Atlanta,191-211-2,47.5%,-1.1,-0.9
LA Lakers,203-226-4,47.3%,0.5,-0.4
Dallas,203-226-9,47.3%,-0.4,-0.9
Denver,254-283-10,47.3%,1.7,-1.0
Minnesota,195-219-10,47.1%,1.1,-0.5
Washington,160-180-5,47.1%,-2.8,-1.3
Phoenix,190-216-5,46.8%,0.4,-1.1
Sacramento,166-190-10,46.6%,-2.4,-1.3
Detroit,144-172-11,45.6%,-2.2,-1.2
