Team,Over Record,Over %,Under %,Total +/-
W Georgia,1-0-0,100.0%,0.0%,+7.0
New Orleans,54-30-2,64.3%,35.7%,+3.9
S Indiana,18-10-0,64.3%,35.7%,+3.1
Hsn Christian,40-23-2,63.5%,36.5%,+4.7
Miss Val St,15-9-0,62.5%,37.5%,+3.0
Denver,69-43-0,61.6%,38.4%,+2.9
Bucknell,65-42-2,60.8%,39.3%,+2.3
Holy Cross,46-30-2,60.5%,39.5%,+0.6
TX-Pan Am,46-30-2,60.5%,39.5%,+1.7
E Illinois,70-46-2,60.3%,39.7%,+4.1
Mercyhurst,3-2-0,60.0%,40.0%,-0.8
San Jose St,49-33-2,59.8%,40.2%,+3.1
Morgan St,44-30-3,59.5%,40.5%,+3.5
Bowling Grn,88-60-1,59.5%,40.5%,+2.7
Wake Forest,89-61-2,59.3%,40.7%,+3.2
Santa Clara,94-65-3,59.1%,40.9%,+3.1
McNeese St,52-36-1,59.1%,40.9%,+1.3
Oral Roberts,87-61-1,58.8%,41.2%,+3.7
South Dakota,92-65-4,58.6%,41.4%,+4.2
E Washingtn,110-78-1,58.5%,41.5%,+4.1
N Dakota St,102-74-2,58.0%,42.1%,+2.7
Chicago St,22-16-0,57.9%,42.1%,+3.9
N Colorado,90-66-2,57.7%,42.3%,+3.7
Kennesaw St,46-34-2,57.5%,42.5%,+1.6
Ball St,85-63-1,57.4%,42.6%,+2.1
Montana St,92-69-0,57.1%,42.9%,+3.2
Florida St,113-86-6,56.8%,43.2%,+1.1
Lehigh,60-46-0,56.6%,43.4%,+2.9
Pepperdine,69-53-1,56.6%,43.4%,+2.4
Boston Col,70-54-3,56.5%,43.6%,+2.1
Iowa,115-89-4,56.4%,43.6%,+2.6
Howard,50-39-0,56.2%,43.8%,+2.9
Niagara,69-54-2,56.1%,43.9%,+3.8
NW State,46-36-2,56.1%,43.9%,+4.0
N Arizona,60-47-0,56.1%,43.9%,+2.7
W Illinois,57-45-1,55.9%,44.1%,+1.2
