Team,ATS Record,Cover %,MOV,ATS +/-
Le Moyne,11-4-0,73.3%,6.4,+6.7
Presbyterian,30-16-2,65.2%,-1.6,+1.3
Yale,68-41-4,62.4%,8.9,+2.8
S Methodist,51-31-2,62.2%,11.0,+2.2
St Fran (PA),49-31-1,61.3%,0.6,+2.2
Sam Hous St,43-28-2,60.6%,7.5,+2.1
St Peters,68-45-0,60.2%,-0.8,+0.8
Chattanooga,49-33-0,59.8%,6.4,+2.2
LA Tech,76-52-2,59.4%,8.6,+1.2
Abl Christian,38-26-0,59.4%,4.5,+1.0
Hampton,37-26-1,58.7%,1.1,+1.1
NW State,37-26-2,58.7%,-1.8,+0.4
Connecticut,54-38-1,58.7%,10.0,+1.6
UCF,53-38-2,58.2%,4.0,+0.5
Alabama,46-33-2,58.2%,7.9,+2.2
S Alabama,68-49-3,58.1%,2.1,+1.7
N Alabama,33-24-1,57.9%,-0.3,+1.1
Purdue,63-46-3,57.8%,11.9,+0.9
Hofstra,64-47-1,57.7%,5.6,+0.9
Wofford,49-36-1,57.7%,7.3,+1.9
Duke,53-39-1,57.6%,15.0,+2.1
Villanova,57-42-1,57.6%,11.8,+0.6
N Florida,42-31-0,57.5%,0.2,+1.2
Delaware,65-48-2,57.5%,-0.6,+1.1
North Texas,73-54-2,57.5%,5.4,+1.5
Houston,54-40-3,57.5%,15.6,+2.5
NC Central,43-32-1,57.3%,5.5,+2.3
Buffalo,43-32-2,57.3%,4.2,+0.8
Oregon St,68-51-1,57.1%,0.1,+0.9
S Car State,45-34-1,57.0%,-3.2,+1.0
BYU,70-53-6,56.9%,10.6,+1.7
Grd Canyon,58-44-2,56.9%,6.2,+0.8
Seton Hall,54-41-3,56.8%,5.0,+0.9
New Mexico,42-32-3,56.8%,8.5,+0.8
SE Louisiana,38-29-1,56.7%,-1.5,-0.9
Iowa St,55-42-1,56.7%,11.5,+1.0
Akron,34-26-1,56.7%,10.0,+2.7
Northwestern,51-39-0,56.7%,7.5,+2.5
Vanderbilt,39-30-2,56.5%,7.3,+1.0
Citadel,44-34-2,56.4%,-3.9,-0.2
Furman,40-31-0,56.3%,9.5,+0.4
USC,67-52-0,56.3%,5.6,+0.9
Vermont,36-28-2,56.3%,7.2,+1.0
Idaho St,67-53-2,55.8%,-1.0,+1.3
Morehead St,67-53-3,55.8%,2.6,+1.4
Nevada,48-38-2,55.8%,6.3,+1.0
Navy,29-23-0,55.8%,1.3,+0.8
Alab A&M,49-39-0,55.7%,-7.4,+0.5
Canisius,54-43-5,55.7%,-0.9,+1.0
GA Tech,40-32-1,55.6%,4.1,+1.7
Clemson,51-41-0,55.4%,6.9,+0.8
Fla Gulf Cst,41-33-0,55.4%,2.9,+2.1
Gard-Webb,36-29-1,55.4%,1.7,+1.1
Lamar,31-25-1,55.4%,3.5,+1.6
Utah Valley,57-46-0,55.3%,2.2,+1.7
St Marys,78-63-3,55.3%,11.6,+1.3
Xavier,48-39-5,55.2%,7.9,+1.5
Maryland ES,39-32-3,54.9%,-4.3,-0.3
Auburn,39-32-1,54.9%,11.4,+2.8
Monmouth,56-46-2,54.9%,0.6,+1.2
Bucknell,28-23-0,54.9%,2.4,+1.6
UCSD,28-23-1,54.9%,1.9,+0.4
E Washingtn,74-61-1,54.8%,4.5,+1.4
Wake Forest,40-33-2,54.8%,3.5,+1.2
Oakland,63-52-1,54.8%,1.2,+1.0
Baylor,52-43-2,54.7%,11.9,+0.3
Kansas,65-54-1,54.6%,11.5,+1.0
UL Monroe,66-55-0,54.6%,0.7,+1.3
IL-Chicago,54-45-0,54.6%,0.0,+0.8
UAB,67-56-4,54.5%,6.0,+1.0
Stony Brook,37-31-1,54.4%,1.2,+0.8
Lafayette,26-22-0,54.2%,-0.8,+0.9
Texas St,60-51-6,54.1%,3.8,+0.2
Indiana,54-46-1,54.0%,5.8,+0.6
Gonzaga,81-69-5,54.0%,19.5,+2.3
S Dakota St,62-53-1,53.9%,6.6,0.0
Kansas City,49-42-3,53.9%,1.1,-0.3
Minnesota,50-43-2,53.8%,2.8,+1.3
Florida A&M,50-43-0,53.8%,-7.8,+0.7
Central Mich,29-25-2,53.7%,3.2,+0.7
UC Irvine,66-57-5,53.7%,6.5,-0.2
Marquette,44-38-0,53.7%,8.4,+0.5
TX A&M-CC,37-32-0,53.6%,3.1,-0.1
Oregon,67-58-2,53.6%,8.1,+0.6
Norfolk St,45-39-2,53.6%,5.2,+1.5
Fla Atlantic,62-54-2,53.5%,4.7,+1.1
Tennessee,41-36-2,53.3%,10.6,+0.6
Longwood,33-29-1,53.2%,-0.6,+0.8
Maryland BC,33-29-0,53.2%,0.6,+2.8
Coastal Car,58-51-3,53.2%,3.5,+0.3
WI-Milwkee,58-51-1,53.2%,-0.2,+0.6
Temple,42-37-5,53.2%,0.8,-0.3
SIU Edward,51-45-1,53.1%,0.0,-0.1
Jackson St,43-38-2,53.1%,-1.5,+0.1
S Carolina,35-31-2,53.0%,7.2,-0.3
Indiana St,35-31-0,53.0%,1.0,-1.1
Kent St,35-31-3,53.0%,5.5,+0.3
Kentucky,45-40-3,52.9%,11.6,0.0
E Michigan,27-24-0,52.9%,3.0,+0.5
TX-Arlington,64-57-2,52.9%,4.7,+1.2
Syracuse,46-41-0,52.9%,5.9,+0.1
